,,sgd_fold_0,sgd_fold_1,sgd_fold_2,sgd_fold_3,sgd_fold_4
ZNF429,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF429,cnv_amp,0.0,0.0,0.0,0.0,0.0
SAAL1,mut_important,0.008564336493836157,0.0017472215661018548,0.0010200665828512781,0.00245629903245416,0.0003163218366804558
SAAL1,cnv_del,0.0,0.0,0.0,0.0,0.0
SAAL1,cnv_amp,0.017794575109603913,0.013792885892852191,0.0030489224168939446,0.03172950444026589,0.0008857808869636693
DPH3,mut_important,0.0,0.0,0.0,0.0,0.0
DPH3,cnv_del,0.008535616946443753,0.018025669320174312,0.005608995408010187,0.03342197524242907,0.01757959156609749
DPH3,cnv_amp,0.05452352685066095,0.03388894086933662,0.0608385189285092,0.08799251111372385,0.044214424701313225
NKRF,mut_important,0.06133318773134984,0.03210900081489744,0.0006047199890587054,0.03385096906068151,0.04977039545777073
NKRF,cnv_del,0.0,0.0,0.0,0.0,0.0
NKRF,cnv_amp,0.0,0.0,0.0,0.0,0.0
BCKDK,mut_important,0.08742193922107415,0.035316088085339876,0.011648763963525459,0.04822929816653761,0.023832282828327438
BCKDK,cnv_del,0.0,0.0,0.0,0.0,0.0
BCKDK,cnv_amp,0.0,0.0,0.0,0.0,0.0
DENND2C,mut_important,0.003037149940527849,0.010833465080746594,0.0031425622248586536,0.028611891196813528,0.019635588178583373
DENND2C,cnv_del,0.005917136149176869,0.013509010485390223,0.0015817248335593154,0.004407983411330968,0.00018252073543525182
DENND2C,cnv_amp,0.024455228402760834,0.023448121255301064,0.009788666731193295,0.03230820549704957,0.04667746602734015
TTLL5,mut_important,0.02871397710402115,0.04460628929153798,0.03889896056103382,0.04375073790694341,0.047748465534968254
TTLL5,cnv_del,0.0,0.0,0.0,0.0,0.0
TTLL5,cnv_amp,0.0,0.0,0.0,0.0,0.0
TBC1D5,mut_important,0.022465470009847423,0.04068679121289334,0.048143677485807335,0.07553431239582328,0.03206940713274077
TBC1D5,cnv_del,0.006780142707079204,0.027999831986430287,0.004757089193315408,0.008882379116066787,0.009449570128625703
TBC1D5,cnv_amp,0.08709750022360963,0.07197234098665123,0.09905965486760716,0.09023439117250524,0.08069321668988261
COL5A3,mut_important,0.04502647247086871,0.16830839449654064,0.15059682999762977,0.13267677613078932,0.07223214422187581
COL5A3,cnv_del,0.0,0.0,0.0,0.0,0.0
COL5A3,cnv_amp,0.0,0.0,0.0,0.0,0.0
NCDN,mut_important,0.014161230306709623,0.014717480872454666,0.01426388380495446,0.01880106506409648,0.0
NCDN,cnv_del,0.01578418322794502,0.004467132035566391,0.014043333806459718,0.028447569920946762,0.01724046513383008
NCDN,cnv_amp,0.0313901484470988,0.032678671169436666,1.1025578313898082e-06,0.051772676879717976,0.03178527648201526
PHKA2,mut_important,0.01687967506148863,0.03233659173751588,0.04180233574589978,0.040305956678124435,0.026431889609775425
PHKA2,cnv_del,0.0,0.0,0.0,0.0,0.0
PHKA2,cnv_amp,0.0,0.0,0.0,0.0,0.0
HDAC6,mut_important,0.004891431015300244,0.03923628325195579,0.021549883701054227,0.04509430762623921,0.03192518505747467
HDAC6,cnv_del,0.0,0.0,0.0,0.0,0.0
HDAC6,cnv_amp,0.0,0.0,0.0,0.0,0.0
KIF3B,mut_important,0.03527122762872262,0.01576840812636568,0.025366939418189238,0.019057398405905968,0.0
KIF3B,cnv_del,0.0,0.0,0.0,0.0,0.0
KIF3B,cnv_amp,0.0,0.0,0.0,0.0,0.0
MRPS25,mut_important,0.022314433120691285,0.002599520948589058,0.0010200665828512781,0.010955381944319116,0.0007320911901092128
MRPS25,cnv_del,0.0198937205681146,0.026752074760068984,0.05631263183549352,0.004888043751215111,0.046433116570156696
MRPS25,cnv_amp,0.024930638013950103,0.024888445097362547,0.01629252098659271,0.018274243649811003,0.031120092289602226
STX8,mut_important,0.02136216283747875,0.015398668894691703,0.015283950387805742,0.019708098924397923,0.0
STX8,cnv_del,0.0,0.0,0.0,0.0,0.0
STX8,cnv_amp,0.0,0.0,0.0,0.0,0.0
FOXA1,mut_important,0.31037873151612677,0.32559356526397226,0.14795919950777556,0.27644696481466685,0.26056079296616597
FOXA1,cnv_del,0.0,0.0,0.0,0.0,0.0
FOXA1,cnv_amp,0.057768372314921906,0.10106909322712404,0.018948008624445307,0.051070099389503944,0.027363752568805962
OR2T2,mut_important,0.0,0.028088401507633108,0.027985762601665458,0.004986105623405621,0.031145046214013494
OR2T2,cnv_del,0.027992700803675562,0.018718168101069823,0.011941706337250623,0.0016327109772099626,7.518466267384043e-06
OR2T2,cnv_amp,0.006919004772566465,0.004495064254557444,0.028985650712774223,0.002699941965450347,0.018485236498054777
LRP1B,mut_important,0.01812273054610872,0.022602066730321172,0.1171604917975037,0.1029516722536293,0.04302589298880581
LRP1B,cnv_del,0.07674371814201499,0.0009999528778515362,0.058242378916729114,0.07688070497231114,0.00958732723616444
LRP1B,cnv_amp,0.034794992609680914,0.041928758116713837,0.022979265551508067,0.04428107428172879,0.0026265846991743794
NEB,mut_important,0.025468338598209395,0.03350820412681399,0.03797757346368633,0.057810844313761746,0.046059507212523096
NEB,cnv_del,0.040758515454456704,0.04239376999877224,0.051342492447489146,0.03248566308566035,0.06459496535788783
NEB,cnv_amp,0.03124374790703659,0.0066818679168025455,0.012308934748614872,0.01761683558480837,0.008932405939430984
DMRT1,mut_important,0.01912551439128091,0.0,0.003493497149102446,0.01837486111392987,0.010856586306247805
DMRT1,cnv_del,0.11214021536548355,0.10088344932629101,0.016237301710252876,0.019831271666528025,0.0776999222631875
DMRT1,cnv_amp,0.025608441903888675,0.051060494705206766,0.0010125488701143953,0.027320811096488554,0.06243513763057215
PDIA3,mut_important,0.02136216283747875,0.015398668894691703,0.015283950387805742,0.019708098924397923,0.0
PDIA3,cnv_del,0.0,0.0,0.0,0.0,0.0
PDIA3,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF708,mut_important,0.0059989382840294325,0.0007412452878887855,0.032815717266082865,0.017113717063511693,0.011197255605459444
ZNF708,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF708,cnv_amp,0.0,0.0,0.0,0.0,0.0
ENDOU,mut_important,0.028086612225667495,0.0021189348782250823,0.0,0.02807636160566984,2.0711562673477166e-05
ENDOU,cnv_del,0.0,0.0,0.0,0.0,0.0
ENDOU,cnv_amp,0.0,0.0,0.0,0.0,0.0
HIST1H3B,mut_important,0.028160139844877575,0.0021288790644272016,2.5631254714803746e-05,0.02807636160566984,2.2350790506871958e-05
HIST1H3B,cnv_del,0.01831084897791942,0.006826164432267648,0.031132028670263157,0.015503171380107714,0.0007965182686697133
HIST1H3B,cnv_amp,0.049493884006421844,0.010203445645145972,0.016145542902624228,0.024989636699711465,0.005965564139462163
ZNF419,mut_important,0.027645547390048365,0.015181629741703145,0.048363112360975576,0.029620426033887044,0.026685366541017465
ZNF419,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF419,cnv_amp,0.0,0.0,0.0,0.0,0.0
HSF2,mut_important,0.0,0.0,0.0,0.0,0.0
HSF2,cnv_del,0.02515565057690013,0.056175831651055184,0.02739557421950989,0.030604468147773674,0.05197596794343815
HSF2,cnv_amp,0.02054990774175995,0.025801994640647034,0.003099498809558117,0.03993193769259732,0.019577014008473437
POU2AF1,mut_important,0.021902546222633726,0.0,0.029359950248368304,0.028068524834968932,0.020496774382610577
POU2AF1,cnv_del,0.013363267603510587,0.008347999154061895,0.02270619366122939,0.009920147019012929,0.0021238670223378132
POU2AF1,cnv_amp,0.0032781793388169285,0.04615598836420933,0.000814773953143631,0.012417022494490183,0.011223470705150845
AIF1L,mut_important,0.0,0.0,0.0,0.0,0.0
AIF1L,cnv_del,0.028675179157949135,0.027427415039299657,0.0034530761990696594,0.0020420605873832692,0.015975932491186548
AIF1L,cnv_amp,0.0,0.03582271582367245,0.0525799905574168,0.06277302743530767,0.058476216791097664
DAPL1,mut_important,0.0,0.0,0.0,0.0,0.0
DAPL1,cnv_del,0.03455214802278467,0.04477158282870432,0.03663498665205101,0.03282162768346416,0.06257154869526026
DAPL1,cnv_amp,0.039507492737971286,0.022781905800335376,0.0379341016507612,0.006918690355718812,2.3991655272339225e-05
POU2F3,mut_important,0.0,0.0,0.0,0.0,0.0
POU2F3,cnv_del,0.0,0.0,0.0,0.0,0.0
POU2F3,cnv_amp,0.0,0.0,0.0,0.0,0.0
PSD4,mut_important,0.037571813603523053,0.03901053830621119,0.023043222866008815,0.04869374569231979,0.03213370580535062
PSD4,cnv_del,0.016518536643111304,0.005034191253204887,0.010151514809214208,0.024306946328177634,0.025674163579452673
PSD4,cnv_amp,0.05883088602763531,0.028094998790887067,0.028176411923782476,0.0425330031757049,0.06226013473880495
RALYL,mut_important,0.014161230306709623,0.03222859373048389,0.03674943027583607,0.03859730369562179,0.030101632552723037
RALYL,cnv_del,0.0,0.0,0.0,0.0,0.0
RALYL,cnv_amp,0.010649346122567521,0.038487276576087706,0.024393077867271813,0.1140381439869128,0.07476234721632821
CRYZ,mut_important,0.0,0.0,0.0,0.0,0.0
CRYZ,cnv_del,0.0533800190736609,0.00038558253045915635,0.039958056823938236,0.017366538117491302,0.006868298137467697
CRYZ,cnv_amp,0.024511344216711535,0.00042579289771272846,8.058883031082362e-05,0.026579396404010407,0.030519653486696233
PLS1,mut_important,0.03840497562407569,0.04693763360483267,0.03581341414353167,0.019708098924397923,0.02008759434743593
PLS1,cnv_del,0.028202397615437,0.056173224088229036,9.718516523371683e-05,0.0,0.031136745001362227
PLS1,cnv_amp,0.09687992089973602,0.10773732481049517,0.02229726280406362,0.026928983202043587,0.07200689233352178
TOR2A,mut_important,0.016238374778691157,0.0,0.029879079044928165,0.020923163984431555,0.023439239191818298
TOR2A,cnv_del,0.0005127914347369325,0.0,0.028083997537169454,0.0018063939065424718,0.031129226536329553
TOR2A,cnv_amp,0.010762965980643356,0.06247215140475497,0.04097874096708894,0.038853184413128156,0.0179577586960107
SMARCAD1,mut_important,0.001595509836312744,0.017703167895848734,0.013866607224558432,0.04702612290605224,0.009821492133797525
SMARCAD1,cnv_del,0.03566259610930143,0.011901759387129233,0.00039988368826887263,0.016125498042653008,0.004010183414124504
SMARCAD1,cnv_amp,0.0006028006517213623,0.02763208814977606,0.027672107389337067,0.014398280846840677,0.03052814331303587
ARF4,mut_important,0.0,0.0,0.0,0.0,0.0
ARF4,cnv_del,0.008654557967776283,0.0014481048376528466,0.013382758891060212,0.010714755886439133,0.015283284444191287
ARF4,cnv_amp,0.026966612914276905,0.002818756332522498,0.004668196168525267,2.6894481466072055e-05,0.017332906808006976
DDX31,mut_important,0.017426550395324418,0.008026909380409826,0.023468490063593236,0.015314632913478335,0.0031495878393835975
DDX31,cnv_del,0.000981312115784799,0.00935627180919597,0.0009656661153028531,0.0,0.00017695554420913323
DDX31,cnv_amp,0.01944045023065447,0.033020151065599114,0.01565003762461619,0.008617029185928845,0.013025576521944174
SCN3B,mut_important,0.0,0.0,0.0,0.0,0.0
SCN3B,cnv_del,0.0,0.0,0.0,0.0,0.0
SCN3B,cnv_amp,0.0,0.0,0.0,0.0,0.0
VPS54,mut_important,0.07401624671500788,0.10033874138713463,0.11409931076965972,0.006337418623600262,0.11381097476379566
VPS54,cnv_del,0.03035317908090466,0.0002517807873013723,0.0004002728559505781,0.002838064140435357,0.02521917416479055
VPS54,cnv_amp,0.0006526888241292567,0.029305784241353314,0.006627938078634069,0.017608562923990153,0.03065457701569312
FBXO36,mut_important,0.02136216283747875,0.015398668894691703,0.015283950387805742,0.019708098924397923,0.0
FBXO36,cnv_del,0.023113527688084803,0.0009015891776952352,0.014733514776225573,0.014062641449754516,0.03204587538405617
FBXO36,cnv_amp,0.018911648348818425,0.028410888681046548,0.012458459099500531,0.016245477129348925,0.016838030705114856
TGIF1,mut_important,0.0,0.0,0.0,0.0,0.0
TGIF1,cnv_del,0.0,0.0,0.0,0.0,0.0
TGIF1,cnv_amp,0.0,0.0,0.0,0.0,0.0
TNP1,mut_important,0.04568594413172295,0.007871372554324208,0.002224908479839221,0.0037514124873733127,0.011446114783075317
TNP1,cnv_del,0.0056478272568822345,0.0,0.03189033313503896,0.01769288551140709,0.03287192550544908
TNP1,cnv_amp,0.00871393184246583,0.036753086076506174,0.011646532061883402,0.0037163173914134743,0.0015249417304122517
ADCY10,mut_important,0.013698934035818814,0.020928129924782338,0.008468849718665359,0.010049882186930937,0.014104098932827517
ADCY10,cnv_del,0.024491583927922694,0.003876400404298059,0.020443446865227533,0.014886511058427218,0.01942710643609884
ADCY10,cnv_amp,0.05301058453117557,0.025197872793768693,0.020519385146945117,0.02426010662733664,0.03943401179630055
CCDC83,mut_important,0.0,0.0005621709178310519,0.0006004005930039902,0.000502161439976317,0.0016179894640054697
CCDC83,cnv_del,0.008918967442108412,0.012904982302341548,5.030241042217468e-05,0.015647563833330578,0.02220219121062678
CCDC83,cnv_amp,0.035314861680137345,0.028101043255497688,0.010121144592798633,0.038493367556564205,0.016339574116705394
DBH,mut_important,0.053781578353912694,0.009199864174206316,0.04055733200562208,0.0606040829478014,0.013499048134417461
DBH,cnv_del,0.0014941035505217318,0.00935627180919597,0.029049663652472305,0.0018063939065424718,0.03130618208053868
DBH,cnv_amp,0.028135108949217145,0.03301994911592417,0.013346102270861415,0.026845793985230154,0.016124581005121243
EXOSC1,mut_important,0.0,0.0,0.0,0.0,0.0
EXOSC1,cnv_del,0.017024579275255504,0.02561394733225412,0.008763280826984498,0.00286009560093907,0.027721934469872322
EXOSC1,cnv_amp,0.018774895695683583,0.019379071590221345,0.015899884240244164,0.016592381889336434,0.029898825354481115
TEAD3,mut_important,0.028435167077010826,0.011150632179351477,0.037991785559412294,0.002848284372074145,0.026463507047396844
TEAD3,cnv_del,0.012560677034557675,0.01962467035727157,0.0004364351206880681,0.00011273216824312849,0.0128475396553041
TEAD3,cnv_amp,0.010809393238687015,0.00043473637861302957,0.019630047542683462,0.03094739593536497,0.00726198728298158
IL17RB,mut_important,0.0,0.0,0.0,0.0,0.0
IL17RB,cnv_del,0.004331174656440913,0.01576594291370564,0.004338087096974682,0.008460403292909046,0.002302142119303582
IL17RB,cnv_amp,0.012748471822273861,0.028087359920018838,0.012746536164114591,0.016974732326966883,0.011674841609166813
DYRK1B,mut_important,0.017371570277838852,0.002013538453704692,0.025262893573083933,0.004331917149708533,0.010112126732283646
DYRK1B,cnv_del,0.0,0.0,0.0,0.0,0.0
DYRK1B,cnv_amp,0.0,0.0,0.0,0.0,0.0
KRTAP13-4,mut_important,0.0005693146705252544,0.01415970200923427,0.0,0.01426852648342126,0.0010946722834306213
KRTAP13-4,cnv_del,0.0,0.0,0.0,0.0,0.0
KRTAP13-4,cnv_amp,0.0,0.0,0.0,0.0,0.0
HSPB2,mut_important,0.0,0.0,0.0,0.0,0.0
HSPB2,cnv_del,0.012410685626149992,0.0063921133476923615,0.02174953257725976,0.0026444210641512534,0.0021238670223378132
HSPB2,cnv_amp,0.01731227691925099,0.009258498233887191,2.1589989054101335e-06,0.01021066591733633,0.013031713603318394
SUCLG1,mut_important,0.0318354461298592,0.0,0.030360791279001424,0.03373802106531549,0.027976618427389337
SUCLG1,cnv_del,0.01965689233942891,0.0004756062934699917,0.0030315169294215507,0.009116446534956826,0.023340283752449443
SUCLG1,cnv_amp,0.05958146702736299,0.033530180757907126,0.013170645104037818,0.0028607838913203387,0.03252986324891207
FAM89B,mut_important,0.03709574367462537,0.029851898451198212,0.029640943565094946,0.019708098924397923,0.0255605004683598
FAM89B,cnv_del,0.0,0.0021424784561569887,0.010225355300558351,0.008006702505165459,0.011989317511304037
FAM89B,cnv_amp,0.003765092494681899,0.03067039355095205,0.0003545104958472247,0.0021649889800431778,0.03595540904975566
NPY5R,mut_important,0.0005065727617974818,0.01947270653531727,0.031858103437188076,0.030776401439665656,0.03196908698103131
NPY5R,cnv_del,0.00011429411026830302,0.00026230468567320223,0.00012293594141544662,0.0007642356024107691,7.424933354639273e-06
NPY5R,cnv_amp,0.08635789633106494,0.1103618318099293,0.07832277126400299,0.07850429410430412,0.05879273471194741
SERAC1,mut_important,0.02136216283747875,0.015398668894691703,0.015283950387805742,0.019708098924397923,0.0
SERAC1,cnv_del,0.014564761236578171,0.01044316696030338,0.0026211054619838907,0.0015204646704465503,0.0011375240655329872
SERAC1,cnv_amp,0.029645298907311195,0.013837210403997791,0.037991785559412294,0.0005901210350790987,0.02663336477360849
TRIM7,mut_important,0.02490792353224035,0.013036886378735606,0.04514253549483282,0.04360056294426109,0.029676512441895925
TRIM7,cnv_del,0.028086612044044647,0.014043208294505522,3.028641988864894e-05,0.0007414146924781485,0.0006017835983045523
TRIM7,cnv_amp,0.03205001950063207,0.033460195044085914,0.09899870842702013,0.05609167283408343,0.053683428257718484
PHF23,mut_important,0.020984760843876328,0.0,0.01347217516850256,0.010612762828200653,0.008825069728362344
PHF23,cnv_del,0.0,0.0,0.0,0.0,0.0
PHF23,cnv_amp,0.0,0.0,0.0,0.0,0.0
TAAR2,mut_important,0.014941184350133066,0.014378393512628365,0.0,0.02757955004370348,0.015234405253629296
TAAR2,cnv_del,0.0188519546143134,0.013387822938144939,0.01474652920208337,0.0,0.014639134504986492
TAAR2,cnv_amp,0.033897001803289396,0.029055712716738256,0.03480281737423206,0.053498280926338605,0.032079858172668556
CHCHD1,mut_important,0.0,0.0,0.0,0.0,0.0
CHCHD1,cnv_del,0.003958527312399011,0.0009062796551091193,0.02282868428107315,0.017789892572462405,0.0026322668536618754
CHCHD1,cnv_amp,0.12998201767424783,0.0663516947737853,0.15305999790658573,0.11487905911190763,0.15668608327886732
ZNF143,mut_important,0.06776166292069295,0.03309523224142506,0.04394656106962721,0.05972414995718361,0.04549268245401224
ZNF143,cnv_del,0.014047039921427093,0.014293586859820392,0.0,0.014062641449754516,0.015564983364084387
