,,coef
HSF2,cnv_del,0.0
HSF2,cnv_amp,0.0
POU2AF1,mut_important,0.0
POU2AF1,cnv_del,0.0
POU2AF1,cnv_amp,0.0
AIF1L,mut_important,0.0
AIF1L,cnv_del,0.0
AIF1L,cnv_amp,0.0
DAPL1,mut_important,0.0
DAPL1,cnv_del,0.0
DAPL1,cnv_amp,0.0
POU2F3,mut_important,0.0
POU2F3,cnv_del,0.0
POU2F3,cnv_amp,0.0
PSD4,mut_important,0.0
PSD4,cnv_del,0.0
PSD4,cnv_amp,0.0
RALYL,mut_important,0.0
RALYL,cnv_del,0.0
RALYL,cnv_amp,0.0
CRYZ,mut_important,0.0
CRYZ,cnv_del,0.0
CRYZ,cnv_amp,0.0
PLS1,mut_important,0.0
PLS1,cnv_del,0.0
PLS1,cnv_amp,0.0
TOR2A,mut_important,0.0
TOR2A,cnv_del,0.0
TOR2A,cnv_amp,0.0
SMARCAD1,mut_important,0.0
SMARCAD1,cnv_del,0.0
SMARCAD1,cnv_amp,0.0
ARF4,mut_important,0.0
ARF4,cnv_del,1.7763568394002505e-15
ARF4,cnv_amp,-1.634803403760543e-14
DDX31,mut_important,0.0
DDX31,cnv_del,0.0
DDX31,cnv_amp,0.0
SCN3B,mut_important,0.0
SCN3B,cnv_del,0.0
SCN3B,cnv_amp,0.0
VPS54,mut_important,1.1504686092678185e-14
VPS54,cnv_del,2.373101715136272e-15
VPS54,cnv_amp,-1.1254885912137524e-14
FBXO36,mut_important,0.0
FBXO36,cnv_del,0.0
FBXO36,cnv_amp,0.0
TGIF1,mut_important,0.0
TGIF1,cnv_del,0.0
TGIF1,cnv_amp,0.0
TNP1,mut_important,0.0
TNP1,cnv_del,0.0
TNP1,cnv_amp,0.0
ADCY10,mut_important,0.0
ADCY10,cnv_del,0.0
ADCY10,cnv_amp,0.0
CCDC83,mut_important,0.0
CCDC83,cnv_del,0.0
CCDC83,cnv_amp,0.0
DBH,mut_important,-1.0969003483296547e-12
DBH,cnv_del,4.169997680492088e-13
DBH,cnv_amp,-1.7141843500212417e-13
EXOSC1,mut_important,0.0
EXOSC1,cnv_del,1.0835776720341528e-13
EXOSC1,cnv_amp,-4.440892098500626e-16
TEAD3,mut_important,1.85268467234323e-15
TEAD3,cnv_del,-7.5842110369706e-15
TEAD3,cnv_amp,3.899658373995862e-15
IL17RB,mut_important,0.0
IL17RB,cnv_del,0.0
IL17RB,cnv_amp,0.0
DYRK1B,mut_important,0.0
DYRK1B,cnv_del,0.0
DYRK1B,cnv_amp,0.0
KRTAP13-4,mut_important,0.0
KRTAP13-4,cnv_del,0.0
KRTAP13-4,cnv_amp,0.0
HSPB2,mut_important,0.0
HSPB2,cnv_del,0.0
HSPB2,cnv_amp,0.0
SUCLG1,mut_important,-2.220446049250313e-14
SUCLG1,cnv_del,1.6708856520608606e-13
SUCLG1,cnv_amp,-7.605027718682322e-14
FAM89B,mut_important,0.0
FAM89B,cnv_del,0.0
FAM89B,cnv_amp,0.0
NPY5R,mut_important,-4.718447854656915e-15
NPY5R,cnv_del,3.608224830031759e-14
NPY5R,cnv_amp,2.5396351688300456e-15
SERAC1,mut_important,0.0
SERAC1,cnv_del,0.0
SERAC1,cnv_amp,0.0
TRIM7,mut_important,0.0
TRIM7,cnv_del,0.0
TRIM7,cnv_amp,0.0
PHF23,mut_important,0.0
PHF23,cnv_del,0.0
PHF23,cnv_amp,0.0
TAAR2,mut_important,0.0
TAAR2,cnv_del,1.1368683772161603e-13
TAAR2,cnv_amp,8.471001677889944e-14
CHCHD1,mut_important,0.0
CHCHD1,cnv_del,-1.482147737874584e-14
CHCHD1,cnv_amp,7.507883204027621e-15
ZNF143,mut_important,9.71445146547012e-17
ZNF143,cnv_del,0.0
ZNF143,cnv_amp,1.96787031114809e-14
ATP1A1,mut_important,-2.078337502098293e-12
ATP1A1,cnv_del,-8.79296635503124e-14
ATP1A1,cnv_amp,-1.4477308241112041e-13
ZNF420,mut_important,1.2975731600306517e-15
ZNF420,cnv_del,0.0
ZNF420,cnv_amp,0.0
FRA10AC1,mut_important,0.0
FRA10AC1,cnv_del,0.0
FRA10AC1,cnv_amp,0.0
PMEPA1,mut_important,9.64939933512099e-18
PMEPA1,cnv_del,0.0
PMEPA1,cnv_amp,0.0
TDO2,mut_important,1.7819079545233762e-13
TDO2,cnv_del,6.639133687258436e-13
