,loss
0,0.520491075515747
1,0.4947648320879255
2,0.47375275662967137
3,0.45301227484430584
4,0.43451484612056185
5,0.4156260107244764
6,0.4001102983951569
7,0.3855894012110574
8,0.3732895723411015
9,0.36249163321086336
10,0.35187253526278905
11,0.34308928847312925
12,0.3354848223073142
13,0.3265298511300768
14,0.319106456211635
15,0.311511663879667
16,0.3049195625952312
17,0.2991940523896899
18,0.2944023387772696
19,0.29056704214641027
20,0.2862618361200605
21,0.2830359203474862
22,0.2796357197420938
23,0.2769318495477949
24,0.27365860172680445
25,0.2710562688963754
26,0.2681801187140601
27,0.26580514056341986
28,0.262895610502788
29,0.2606162777968815
30,0.25851683276040216
31,0.25616269345794407
32,0.2541479570525033
33,0.2522645260606493
34,0.2504859677382878
35,0.24862542407853264
36,0.2471381826060159
37,0.24573512141193662
38,0.24440018917833056
39,0.24276842474937438
40,0.2415936665875571
41,0.24020523322480067
42,0.23905692653996605
43,0.2378901720046997
44,0.2368188968726567
45,0.23571933252470834
46,0.2347677618265152
47,0.23371023578303202
48,0.23287210421902793
49,0.23183604734284538
50,0.23121425764901296
51,0.2302470190184457
52,0.2292838513851166
53,0.22870889838252748
54,0.22796342628342764
55,0.22703628412314825
56,0.22636585916791643
57,0.2256751047713416
58,0.2250412038394383
59,0.2244980935539518
60,0.22368976856981004
61,0.22317668391125542
62,0.2225728575672422
63,0.22194340867655618
64,0.22181374111345836
65,0.22131736661706652
66,0.22075754233769007
67,0.2200463333300182
68,0.21950461523873466
69,0.21900344576154437
70,0.21844917173896516
71,0.21825900162969317
72,0.2176329229559217
73,0.2171786746808461
74,0.21668972287859237
75,0.21622515065329415
76,0.2160770663193294
77,0.2154766525541033
78,0.2156758827822549
79,0.21483025934015001
80,0.21473508392061505
81,0.2143372301544462
82,0.21382802426815034
83,0.21342000961303711
84,0.21305868285042898
85,0.21259162575006485
86,0.21253667303494045
87,0.21234078194413866
88,0.21177444543157306
89,0.21134844720363616
90,0.21110922311033523
91,0.2108345172234944
92,0.21046775324004038
93,0.21041558044297354
94,0.21008529194763728
95,0.2097128211387566
96,0.20937817288296565
97,0.209106411252703
98,0.20890396386384963
99,0.20858916299683708
