,loss
0,0.6673114146505084
1,0.6285497188568115
2,0.592475882598332
3,0.5608601774488177
4,0.5313440501689911
5,0.5069582172802516
6,0.48512465953826905
7,0.4670801103115082
8,0.4514913465295519
9,0.4382783395903451
10,0.4253316606794085
11,0.41447072880608693
12,0.40379586134638107
13,0.39412995065961565
14,0.38536316582134794
15,0.3778549270970481
16,0.3705176591873169
17,0.3639799322400774
18,0.3577535765511649
19,0.35244816541671753
20,0.3463268961225237
21,0.34077683857509067
22,0.335445191179003
23,0.3306137485163552
24,0.32675690480640956
25,0.32323279465947835
26,0.31982048664774215
27,0.31660427621432713
28,0.3134935149124691
29,0.31083735312734334
30,0.30833959324019294
31,0.3058389025075095
32,0.30351950441087994
33,0.3013064367430551
34,0.29936820609228953
35,0.2974957244736808
36,0.29559328556060793
37,0.2939090285982404
38,0.2922430523804256
39,0.29074415223939076
40,0.2892584800720215
41,0.28794674490179334
42,0.28668707268578664
43,0.28555350431374144
44,0.2840072844709669
45,0.28298660516738894
46,0.28182402082851954
47,0.280812497649874
48,0.27997940693582807
49,0.2788807681628636
50,0.27805770976202826
51,0.2772264672177179
52,0.2762852315391813
53,0.2755312468324389
54,0.27505668103694914
55,0.27415549414498463
56,0.27335481558527264
57,0.2725977046149118
58,0.2721786635262626
59,0.271690229007176
60,0.271401115826198
61,0.27063826748303005
62,0.26984694600105286
63,0.26924186519214083
64,0.2687358932835715
65,0.2682285291807992
66,0.2678344432796751
67,0.2672590025833675
68,0.2668450163943427
69,0.26628377607890535
70,0.2654289539371218
71,0.26445114846740453
72,0.26350574323109216
73,0.26364690916878836
74,0.26267823832375664
75,0.2620420455932617
76,0.261647213782583
77,0.2610066628881863
78,0.260611863221441
79,0.2601156613656453
80,0.25985112615994044
81,0.259382774574416
82,0.25920444684369226
83,0.25888579572950093
84,0.2580705072198595
85,0.2576924809387752
86,0.25753245779446193
87,0.25697369745799475
88,0.2568109976393836
89,0.25672366746834346
90,0.25615052538258687
91,0.25578251481056213
92,0.2555937371083668
93,0.25529914498329165
94,0.2548366320984704
95,0.25456295354025704
96,0.25510231043611253
97,0.25452706132616315
98,0.2537571783576693
99,0.2537035141672407
