,coef
VPS53,0.22323088
FGF6,0.27594328
HIST1H3E,0.0
MED13L,-0.0008561955
VRK1,0.15105616
FGF3,0.93895656
ZNF69,0.0
RGS20,0.0
ZNF791,0.0
TULP4,0.13328151
DNAJC14,0.0
DENND2D,-1.6987124e-05
EAPP,0.0
ZSCAN29,0.0
IFNGR1,1.4576678e-06
FAM135B,0.0
VTA1,0.027971685
H3F3A,0.6511188
TMEM42,0.0
DDO,0.0
PIP5K1A,0.124721356
PPIL2,-2.9467952e-21
RRAD,0.0
OR5AC2,0.0
WTAP,0.0
NBPF3,0.0
NRXN2,3.427227e-05
BTF3L4,0.0
MTMR4,-0.00025565256
SPOPL,0.0
GPR19,0.0
ARHGAP29,0.38679978
G6PC3,4.922577e-07
TSPAN1,0.0
PPP3CB,1.134771
SRPK2,0.0
SEMG2,0.0
IL15,0.14327382
OR5L1,0.0
SLC25A28,0.0
ABHD13,0.0
RWDD2B,0.0
CLRN1,0.0
IMPAD1,0.0
ZNF212,0.0
MON2,0.0
SCP2,8.5462864e-19
WDR91,0.0
KIN,4.185203e-31
COX6C,1.3139797
ZDHHC5,0.0
GOT1,-3.1813772e-09
HEMGN,0.0
ZNF382,0.0
PDZRN3,0.0
TINF2,1.4555287e-12
OTOP1,0.0
ACOT2,0.0
DNMT3A,0.015483896
NFX1,0.0
PPIL4,0.15283313
FBLN1,1.6833588e-11
KLHL3,-0.09384031
OR8K3,0.0
ULK1,0.04374654
POM121,-0.010618765
ZBTB5,0.0
SBDS,0.0
OASL,0.0
CCDC73,0.0
FOXO1,-0.6554544
SIRT1,0.5466893
PAN3,-4.0118445e-14
E2F4,-7.045299e-05
OR9G4,0.0
FCER1G,0.06495319
PSMC5,1.1440271
OR6C70,0.0
DUSP23,0.0
SAMM50,0.0014264358
CTSO,-1.3615635e-06
NSUN5,0.0
KBTBD2,0.0
MORF4L1,0.002094403
PRPF18,0.0
DPPA2,0.0
PTK2B,0.4064003
USF2,-0.017097734
NUP188,-0.10225501
KCNQ4,8.108202e-24
DSC1,0.017509025
ZNRF2,-0.23507844
KIAA1324L,0.0
RHOH,-0.009090687
TNFSF12,7.6977687e-29
TCP11,0.0
SERPIND1,-0.085188694
C1D,-9.799315e-08
TBC1D20,1.2257537e-09
OR5AN1,0.0
CSDE1,0.0
RAB24,0.007805912
PSG8,0.0
CHUK,-0.0015706938
RAB25,-7.617175e-12
TSR1,-3.078376e-08
STX1A,0.00556996
TMEM38A,0.0
ALG11,0.0
PLEKHA4,1.1708446e-05
MRFAP1,0.0
CARD6,0.0
HES3,0.0
SP2,0.0
CYCS,0.16572975
ZNF575,0.0
HS6ST1,-1.8413069e-09
TRIML2,0.0
LRRC8D,-1.1887736e-26
CRAT,8.4863403e-23
OMG,-1.2870987e-21
CSRP3,0.0
DYNLL2,-1.0636536
PIP5KL1,0.0
FOXP4,0.0
KLK4,0.0
COASY,-5.41498e-35
ZNF138,0.0
CLK2,0.0
FADD,-0.013917944
CYP8B1,4.59814e-05
ATG16L2,0.0
IL1A,-0.13079143
CC2D1B,0.0
DMC1,0.01727882
PHC2,-0.050078046
ERLEC1,-0.001162949
PQLC3,0.0
JAM2,-1.6202895e-05
RAB6A,-0.061311893
DRD3,0.0008436348
PDIA6,0.1547763
CLDN6,2.5074268e-13
FOXD2,0.0
FDPS,-1.512227e-12
BTG1,0.0
NCOA1,0.1780081
MN1,0.0
FBLIM1,0.0
GTPBP10,0.0
GNG2,0.0126985125
ARGLU1,0.0
TSPYL5,0.0
GDAP2,0.0
SMARCB1,-0.00065151544
TMOD1,-5.0220034e-23
CCDC134,0.0
SNRPG,0.0067509045
PHTF1,0.0
PDE7B,0.0
SNX6,0.0
DEDD,0.0
SCEL,0.0
TMEM64,0.0
SPSB4,0.32336733
COX7A2,0.0
PREX2,0.105747014
TMEM190,0.0
TUBB2B,0.05159
NDUFAF2,1.2817038e-18
OR5M3,0.0
RCBTB1,0.0
SV2A,-1.2903222e-12
TMEM175,0.0
TCTE1,0.0
NFKB1,0.53362715
MS4A15,0.0
PLEKHH3,0.0
WFDC11,0.0
NME6,0.0
SLC39A14,-7.1829387e-10
SSU72,0.0
FGL2,0.11716695
HOXC8,0.0
TRIM2,0.0
MET,0.16103923
SENP2,0.12314505
VPREB1,0.0
OR8B2,0.0
ADAM19,-1.03578914e-22
QRICH2,0.0
GNL3,0.0
PUS7,0.0
POLR3F,0.054919075
LRRC29,0.0
EHF,0.0
TCP10,0.0
EHD4,0.0
IP6K1,9.369487e-24
FAM78B,0.0
CDC16,0.7674996
LRP1B,0.0
SH3TC1,0.0
YTHDF2,0.0
GDAP1L1,0.0
TNNT1,-6.254198e-35
