,coef
VPS53,0.053470727
FGF6,0.46320012
HIST1H3E,0.0
MED13L,0.003554993
VRK1,-0.018317139
FGF3,0.5862438
ZNF69,0.0
RGS20,0.0
ZNF791,0.0
TULP4,-1.6983191e-05
DNAJC14,0.0
DENND2D,-0.003868341
EAPP,0.0
ZSCAN29,0.0
IFNGR1,3.1945736e-26
FAM135B,0.0
VTA1,0.028070224
H3F3A,1.0571227
TMEM42,0.0
DDO,0.0
PIP5K1A,0.2988452
PPIL2,1.025083e-24
RRAD,0.0
OR5AC2,0.0
WTAP,0.0
NBPF3,0.0
NRXN2,0.23970565
BTF3L4,0.0
MTMR4,0.0617501
SPOPL,0.0
GPR19,0.0
ARHGAP29,0.26001027
G6PC3,2.3816705e-08
TSPAN1,0.0
PPP3CB,0.6332277
SRPK2,0.0
SEMG2,0.0
IL15,0.102542676
OR5L1,0.0
SLC25A28,0.0
ABHD13,0.0
RWDD2B,0.0
CLRN1,0.0
IMPAD1,0.0
ZNF212,0.0
MON2,0.0
SCP2,-2.603353e-06
WDR91,0.0
KIN,5.8161e-37
COX6C,1.7065252
ZDHHC5,0.0
GOT1,2.9388839e-10
HEMGN,0.0
ZNF382,0.0
PDZRN3,0.0
TINF2,2.3115547e-07
OTOP1,0.0
ACOT2,0.0
DNMT3A,0.07923338
NFX1,0.0
PPIL4,0.27726877
FBLN1,-1.9786508e-21
KLHL3,0.0005876343
OR8K3,0.0
ULK1,0.072970666
POM121,0.52372694
ZBTB5,0.0
SBDS,0.0
OASL,0.0
CCDC73,0.0
FOXO1,-0.18360509
SIRT1,0.43766424
PAN3,1.1755055e-05
E2F4,-0.13750632
OR9G4,0.0
FCER1G,0.13866822
PSMC5,-0.08480423
OR6C70,0.0
DUSP23,0.0
SAMM50,0.00045764737
CTSO,-0.0075183925
NSUN5,0.0
KBTBD2,0.0
MORF4L1,5.1131577e-10
PRPF18,0.0
DPPA2,0.0
PTK2B,0.622936
USF2,-0.0018509676
NUP188,-0.06341719
KCNQ4,-2.4770279e-14
DSC1,-0.023492899
ZNRF2,0.0056085787
KIAA1324L,0.0
RHOH,-2.2301829e-13
TNFSF12,1.2556603e-28
TCP11,0.0
SERPIND1,-0.09746976
C1D,-8.967408e-11
TBC1D20,0.0054027596
OR5AN1,0.0
CSDE1,0.0
RAB24,0.18720137
PSG8,0.0
CHUK,0.6870271
RAB25,-1.2246389e-11
TSR1,1.2917053e-19
STX1A,0.24013823
TMEM38A,0.0
ALG11,0.0
PLEKHA4,0.06251855
MRFAP1,0.0
CARD6,0.0
HES3,0.0
SP2,0.0
