,coef
R-HSA-112316,0.003201338
R-HSA-8963743,1.4491148e-07
R-HSA-109582,-0.97450995
R-HSA-392499,44.460663
R-HSA-74160,59.522987
R-HSA-1500931,-0.0011443057
R-HSA-4839726,10.481149
R-HSA-1266738,6.715718
R-HSA-1474165,0.13316397
R-HSA-1852241,0.109985135
R-HSA-8953854,16.34483
R-HSA-1643685,24.770384
R-HSA-162582,37.387962
R-HSA-400253,5.7014554e-06
R-HSA-1640170,14.231051
R-HSA-8953897,4.2451277
R-HSA-5205647,3.493498e-07
R-HSA-1474244,2.5791411
R-HSA-5357801,-2.170553e-05
R-HSA-73894,1.3784487
R-HSA-168256,107.42809
R-HSA-69306,-0.36515772
R-HSA-5653656,26.638557
R-HSA-382551,0.00060957565
R-HSA-1430728,0.5088004
R-HSA-397014,-5.9770573e-05
