,coef
R-HSA-2173795,0.13725942
R-HSA-2173796,1.0718983
R-HSA-2206280,0.0
R-HSA-2206282,0.0
R-HSA-2206285,0.0
R-HSA-2206290,0.0
R-HSA-2206291,0.0
R-HSA-2206292,0.0
R-HSA-2206296,0.0
R-HSA-2206302,0.0
R-HSA-2206305,0.0
R-HSA-2206307,0.0
R-HSA-2206308,0.0
R-HSA-2428933,-9.621639e-13
R-HSA-2466712,3.4369088e-10
R-HSA-68881,1.2640605e-08
R-HSA-68882,2.165885
R-HSA-2559584,7.2235774e-16
R-HSA-2644606,0.80017877
R-HSA-2644607,0.068639465
R-HSA-2660826,0.08340253
R-HSA-2691232,0.029711364
R-HSA-2894862,0.91889817
R-HSA-2980766,1.3211945
R-HSA-3108214,2.9362702
R-HSA-3232118,0.12515385
R-HSA-3232142,0.9050603
R-HSA-3899300,0.61683923
R-HSA-4085377,0.70184606
R-HSA-4090294,0.37669903
R-HSA-4551638,1.0064529
R-HSA-4570464,1.0776664
R-HSA-4615885,0.59365964
R-HSA-4655427,0.33264875
R-HSA-4755510,0.2991589
R-HSA-3248023,0.0
R-HSA-3065676,0.00042991393
R-HSA-3065678,0.005631055
R-HSA-3065679,0.035017043
R-HSA-3229133,0.0
R-HSA-3274531,0.0
R-HSA-3282872,0.0
R-HSA-3785653,3.547154e-12
R-HSA-3814836,2.2618507e-15
R-HSA-3828062,3.0490787e-14
R-HSA-3858516,-4.2450378e-13
R-HSA-3878781,5.1960254e-14
R-HSA-5357609,4.32983e-14
R-HSA-3359454,0.0
R-HSA-3359457,0.0
R-HSA-3359458,0.0
R-HSA-3359462,0.0
R-HSA-3359463,0.0
R-HSA-3359467,-8.3470643e-17
R-HSA-3359469,-1.6194846e-20
R-HSA-3359471,0.0
R-HSA-3359473,7.958314e-31
R-HSA-3359474,7.062207e-25
R-HSA-3359475,-1.09151795e-26
R-HSA-3359478,0.0
R-HSA-3359485,0.0
R-HSA-3311021,-0.0013209329
R-HSA-3304356,-0.0036794385
R-HSA-3315487,-0.013258541
R-HSA-3371598,0.0
R-HSA-3371599,-1.6280007e-12
R-HSA-3371568,0.008838231
R-HSA-3642279,5.684352e-09
R-HSA-3645790,1.0441485e-12
R-HSA-3656532,-0.00043295402
R-HSA-3656535,-1.2969211e-09
R-HSA-5628897,2.5010304
R-HSA-5633007,15.142845
R-HSA-5633008,5.0698805
R-HSA-6791312,2.276496
R-HSA-6796648,1.0417331
