,coef
R-HSA-110362,0.0052117566
R-HSA-5651801,0.009246705
R-HSA-73930,-1.7268288e-21
R-HSA-111461,-1.3905702e-10
R-HSA-264870,-2.3506224e-13
R-HSA-351906,-5.9817498e-09
R-HSA-352238,-7.439891e-15
R-HSA-111469,-3.0829567e-14
R-HSA-111885,2.091685
R-HSA-111933,3.786155e-05
R-HSA-112399,0.33920372
R-HSA-110056,-1.445339e-24
R-HSA-112411,-1.6307538e-12
R-HSA-113510,2.024906
R-HSA-111446,7.946331e-05
R-HSA-111447,-6.4252995e-12
R-HSA-111448,-3.605296e-07
R-HSA-139910,-4.788452e-11
R-HSA-139915,1.3977087e-05
R-HSA-1169091,1.2204579
R-HSA-1169092,0.05614902
R-HSA-2025928,0.12032253
R-HSA-1169408,4.157278
R-HSA-1234158,0.107284665
R-HSA-1234162,0.0076709026
R-HSA-1234176,0.80821496
R-HSA-1236973,0.006996703
R-HSA-1236974,0.8998833
R-HSA-1236977,-1.4177707e-06
R-HSA-1236978,0.57093793
R-HSA-1296041,0.0035804936
R-HSA-211227,-1.3414549e-10
R-HSA-3371378,-1.11136184e-10
R-HSA-69416,-8.362815e-13
R-HSA-141430,-0.00019670128
R-HSA-141444,0.42499828
R-HSA-1461957,-1.214854e-14
R-HSA-1462054,-2.943965e-12
R-HSA-1482788,0.2693856
R-HSA-1482798,0.0028987469
R-HSA-1482801,0.17684127
R-HSA-1482839,0.24668601
R-HSA-1482883,-3.3962527e-10
R-HSA-1482922,0.027980229
R-HSA-1482925,0.009260625
R-HSA-1483076,-4.3222927e-17
R-HSA-1483115,0.019602405
R-HSA-1483148,0.028444264
R-HSA-1483152,2.5058305e-10
R-HSA-1483166,0.77934045
R-HSA-1483191,0.067712516
R-HSA-1483196,-2.3872626e-10
R-HSA-1483213,-0.04339662
R-HSA-1483226,0.0391409
R-HSA-1483248,-0.029361725
R-HSA-1660499,1.3284987
R-HSA-1660514,0.020451574
R-HSA-1660516,0.14754148
R-HSA-1660517,0.033518635
R-HSA-6814848,3.1094265e-20
R-HSA-8847453,0.07213937
R-HSA-1362277,-1.0456752e-10
R-HSA-1362300,-9.707762e-16
R-HSA-159424,1.2886039e-05
R-HSA-173599,9.302016e-15
R-HSA-174403,5.8690414e-10
R-HSA-159227,-2.730489e-06
R-HSA-159230,-3.6787167e-08
R-HSA-159231,-0.0007124216
R-HSA-159740,-1.7478947e-16
R-HSA-159763,2.0538672e-13
R-HSA-159782,-1.2298042e-15
R-HSA-1606341,0.0018283146
R-HSA-1810476,0.008394025
R-HSA-1614517,0.0
R-HSA-162594,0.26244137
R-HSA-162599,4.2358546
R-HSA-164952,0.12900972
R-HSA-176033,0.6696339
R-HSA-176034,-1.470571e-05
R-HSA-177243,1.2767948
R-HSA-180534,0.8248789
R-HSA-180585,0.8244123
R-HSA-180689,0.0498992
R-HSA-2022854,0.10365656
R-HSA-2022857,0.08404895
R-HSA-1971475,0.02617505
R-HSA-2022928,0.22185625
R-HSA-2024096,0.012735607
R-HSA-2426168,0.0008122347
R-HSA-166020,9.640115e-09
R-HSA-166166,3.0724423
R-HSA-445989,0.12096545
R-HSA-450294,3.24672
R-HSA-167826,1.9947713e-06
R-HSA-167827,2.3476867e-05
R-HSA-166786,0.289975
R-HSA-173736,0.0
R-HSA-975155,6.191096
R-HSA-168927,0.01728225
R-HSA-9013957,0.14511502
R-HSA-9013973,0.17533964
R-HSA-9014325,0.017871855
R-HSA-168276,0.5395043
R-HSA-168277,0.0
R-HSA-168268,0.0
R-HSA-168270,0.0
R-HSA-168271,4.0985343e-10
R-HSA-168273,1.9192115
R-HSA-168274,0.020761237
R-HSA-168275,0.0
R-HSA-5250955,0.048515223
R-HSA-5250958,0.0010038682
R-HSA-5250968,0.024516907
R-HSA-5250971,0.007702087
R-HSA-5250981,0.061703455
R-HSA-5250982,0.00091597764
R-HSA-5250989,0.024276668
R-HSA-5250992,0.036081627
R-HSA-174084,-0.046667755
R-HSA-174178,-0.0447965
R-HSA-176407,-0.025385575
R-HSA-176814,0.017692689
R-HSA-174417,-2.1961492e-05
R-HSA-2022870,0.039025027
R-HSA-2022923,0.00056985754
R-HSA-2024101,-0.003914964
R-HSA-171319,-2.8156928e-11
R-HSA-629602,-8.148352e-16
