,coef
R-HSA-112316,0.22775328
R-HSA-8963743,4.1839314e-07
R-HSA-109582,9.53927
R-HSA-392499,44.77834
R-HSA-74160,66.762115
R-HSA-1500931,-3.0378053e-05
R-HSA-4839726,4.8003697
R-HSA-1266738,12.0910425
R-HSA-1474165,3.648104
R-HSA-1852241,-1.2498326e-05
R-HSA-8953854,18.247965
R-HSA-1643685,17.049603
R-HSA-162582,46.067604
R-HSA-400253,0.0006935805
R-HSA-1640170,55.98464
R-HSA-8953897,9.112811
R-HSA-5205647,0.0
R-HSA-1474244,0.0011526154
R-HSA-5357801,0.016160863
R-HSA-73894,1.3003951
R-HSA-168256,82.560425
R-HSA-69306,-0.044766136
R-HSA-5653656,17.785439
R-HSA-382551,0.40114117
R-HSA-1430728,4.3387146
R-HSA-397014,0.13520545
