,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
BTF3L4,mut_important,0.0,0.0,0.0,0.0,0.0
BTF3L4,cnv_del,0.0,0.0,0.0,0.0,0.0
BTF3L4,cnv_amp,0.0,0.0,0.0,0.0,0.0
MTMR4,mut_important,0.07309361,0.009137988,0.00982282,0.08219769,2.279304e-05
MTMR4,cnv_del,0.0025158306,0.0012368823,0.00075233233,0.008157995,2.6259145e-06
MTMR4,cnv_amp,0.008827672,0.0077565312,0.014330522,0.033647582,0.00023548542
SPOPL,mut_important,0.0,0.0,0.0,0.0,0.0
SPOPL,cnv_del,0.0,0.0,0.0,0.0,0.0
SPOPL,cnv_amp,0.0,0.0,0.0,0.0,0.0
GPR19,mut_important,0.0,0.0,0.0,0.0,0.0
GPR19,cnv_del,0.0,0.0,0.0,0.0,0.0
GPR19,cnv_amp,0.0,0.0,0.0,0.0,0.0
ARHGAP29,mut_important,0.25807095,0.23969866,0.50579023,0.55210483,0.36117747
ARHGAP29,cnv_del,0.0006876134,0.08333168,0.017774003,0.07211604,0.019941643
ARHGAP29,cnv_amp,0.0012517851,7.0886126e-05,0.03344015,0.014827391,0.0056806663
G6PC3,mut_important,5.243479e-09,3.1239598e-15,0.0011924902,4.430187e-06,8.947405e-08
G6PC3,cnv_del,2.1000968e-08,2.4871677e-14,0.0038457315,0.00050270103,8.196368e-07
G6PC3,cnv_amp,2.4277396e-09,9.391276e-16,0.00055314315,2.9944891e-05,4.168532e-07
TSPAN1,mut_important,0.0,0.0,0.0,0.0,0.0
TSPAN1,cnv_del,0.0,0.0,0.0,0.0,0.0
TSPAN1,cnv_amp,0.0,0.0,0.0,0.0,0.0
PPP3CB,mut_important,0.0135570355,0.034165926,0.024773907,0.032583747,0.03555793
PPP3CB,cnv_del,0.05841173,0.13006388,0.02344045,0.03391663,0.06875065
PPP3CB,cnv_amp,0.7051965,1.361198,0.84575355,0.56044525,1.1679637
SRPK2,mut_important,0.0,0.0,0.0,0.0,0.0
SRPK2,cnv_del,0.0,0.0,0.0,0.0,0.0
SRPK2,cnv_amp,0.0,0.0,0.0,0.0,0.0
SEMG2,mut_important,0.0,0.0,0.0,0.0,0.0
SEMG2,cnv_del,0.0,0.0,0.0,0.0,0.0
SEMG2,cnv_amp,0.0,0.0,0.0,0.0,0.0
IL15,mut_important,0.0066620903,0.014760549,0.010453399,2.9414463e-14,0.010185802
IL15,cnv_del,0.004666347,0.0033451635,0.009183263,2.1003659e-10,0.01767586
IL15,cnv_amp,0.09121424,0.05457054,0.08020076,1.5739625e-08,0.11541213
OR5L1,mut_important,0.0,0.0,0.0,0.0,0.0
OR5L1,cnv_del,0.0,0.0,0.0,0.0,0.0
OR5L1,cnv_amp,0.0,0.0,0.0,0.0,0.0
SLC25A28,mut_important,0.0,0.0,0.0,0.0,0.0
SLC25A28,cnv_del,0.0,0.0,0.0,0.0,0.0
SLC25A28,cnv_amp,0.0,0.0,0.0,0.0,0.0
ABHD13,mut_important,0.0,0.0,0.0,0.0,0.0
ABHD13,cnv_del,0.0,0.0,0.0,0.0,0.0
ABHD13,cnv_amp,0.0,0.0,0.0,0.0,0.0
RWDD2B,mut_important,0.0,0.0,0.0,0.0,0.0
RWDD2B,cnv_del,0.0,0.0,0.0,0.0,0.0
RWDD2B,cnv_amp,0.0,0.0,0.0,0.0,0.0
CLRN1,mut_important,0.0,0.0,0.0,0.0,0.0
CLRN1,cnv_del,0.0,0.0,0.0,0.0,0.0
CLRN1,cnv_amp,0.0,0.0,0.0,0.0,0.0
IMPAD1,mut_important,0.0,0.0,0.0,0.0,0.0
IMPAD1,cnv_del,0.0,0.0,0.0,0.0,0.0
IMPAD1,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF212,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF212,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF212,cnv_amp,0.0,0.0,0.0,0.0,0.0
MON2,mut_important,0.0,0.0,0.0,0.0,0.0
MON2,cnv_del,0.0,0.0,0.0,0.0,0.0
MON2,cnv_amp,0.0,0.0,0.0,0.0,0.0
SCP2,mut_important,2.613481e-06,0.00053768716,1.1811927e-29,5.4509535e-14,2.5177743e-20
SCP2,cnv_del,3.2658536e-07,0.00040333686,3.962921e-27,6.5843076e-14,7.307255e-19
SCP2,cnv_amp,3.1645735e-07,0.000406736,2.7069379e-28,9.820288e-16,1.4908091e-19
WDR91,mut_important,0.0,0.0,0.0,0.0,0.0
WDR91,cnv_del,0.0,0.0,0.0,0.0,0.0
WDR91,cnv_amp,0.0,0.0,0.0,0.0,0.0
KIN,mut_important,8.571467e-38,3.6406743e-24,2.4225731e-17,1.0498899e-21,9.079982e-32
KIN,cnv_del,3.816538e-37,5.667323e-22,5.7805916e-17,1.7991905e-20,1.5536646e-31
KIN,cnv_amp,1.1424147e-37,2.8278395e-23,1.3105949e-17,5.256166e-22,1.7235376e-31
COX6C,mut_important,0.0,0.0,0.0,0.0,0.0
COX6C,cnv_del,0.020406872,0.011693159,0.016670067,0.0053202147,0.0
COX6C,cnv_amp,1.6861184,0.94357824,1.5897524,0.3881388,1.3139797
ZDHHC5,mut_important,0.0,0.0,0.0,0.0,0.0
ZDHHC5,cnv_del,0.0,0.0,0.0,0.0,0.0
ZDHHC5,cnv_amp,0.0,0.0,0.0,0.0,0.0
GOT1,mut_important,1.3945614e-11,3.5919916e-14,3.9813136e-10,5.535715e-09,2.9635178e-10
GOT1,cnv_del,2.8984154e-10,1.2730857e-12,1.2496885e-08,2.2112692e-06,3.0122893e-09
GOT1,cnv_amp,1.7992462e-11,1.5810741e-13,1.3625084e-08,1.3508928e-06,4.6543974e-10
HEMGN,mut_important,0.0,0.0,0.0,0.0,0.0
HEMGN,cnv_del,0.0,0.0,0.0,0.0,0.0
HEMGN,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF382,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF382,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF382,cnv_amp,0.0,0.0,0.0,0.0,0.0
PDZRN3,mut_important,0.0,0.0,0.0,0.0,0.0
PDZRN3,cnv_del,0.0,0.0,0.0,0.0,0.0
PDZRN3,cnv_amp,0.0,0.0,0.0,0.0,0.0
TINF2,mut_important,4.2413048e-10,0.0008882551,0.0,0.004071784,1.3648941e-14
TINF2,cnv_del,3.514301e-08,0.000820157,0.0038201066,0.0013503573,2.1285286e-13
TINF2,cnv_amp,1.9558831e-07,0.010250007,0.02856053,0.051313654,1.2290269e-12
OTOP1,mut_important,0.0,0.0,0.0,0.0,0.0
OTOP1,cnv_del,0.0,0.0,0.0,0.0,0.0
OTOP1,cnv_amp,0.0,0.0,0.0,0.0,0.0
ACOT2,mut_important,0.0,0.0,0.0,0.0,0.0
ACOT2,cnv_del,0.0,0.0,0.0,0.0,0.0
ACOT2,cnv_amp,0.0,0.0,0.0,0.0,0.0
DNMT3A,mut_important,0.06608197,0.21828085,0.00026622895,0.4512023,0.021236116
DNMT3A,cnv_del,0.001310688,0.020903282,4.5000426e-05,0.014088826,0.00551976
DNMT3A,cnv_amp,0.01184074,0.005452343,4.7858917e-05,0.03543392,0.00023245935
NFX1,mut_important,0.0,0.0,0.0,0.0,0.0
NFX1,cnv_del,0.0,0.0,0.0,0.0,0.0
NFX1,cnv_amp,0.0,0.0,0.0,0.0,0.0
PPIL4,mut_important,0.016640782,0.024394387,0.006428369,4.5808726e-12,0.016361995
PPIL4,cnv_del,0.17602034,0.095388636,0.037888404,3.3908532e-09,0.137276
PPIL4,cnv_amp,0.11788919,0.04487931,0.013926188,4.7051286e-11,0.031919166
FBLN1,mut_important,1.7191526e-22,1.531563e-11,2.8001357e-14,1.7124836e-05,1.0573549e-12
