,coef
DCAF6,0.033980627
MKLN1,0.0
AGA,0.16235885
ZNF484,0.0
EFNA5,0.0017150447
OXSR1,0.0
LYRM7,0.0
PLD1,0.29989898
SLC26A8,0.0
POU3F3,0.0
SLC45A4,0.0
RELT,0.0
WSCD1,0.0
TRDMT1,0.0
F11R,-0.007968746
ANKRD50,0.0
NKAP,0.0
RBM41,0.0
CXXC1,8.160399e-13
MRPL15,0.042989902
TLR3,0.016086843
LIMCH1,0.0
LNX2,0.0
INA,0.0
MTMR6,0.0033262542
SUPV3L1,0.0
SIX4,0.0
ARMS2,0.0
OR6P1,0.07505977
LRSAM1,0.4093494
ERLIN1,-5.598384e-13
WDR73,0.0
CPSF2,-0.032197215
INTS5,-0.01265626
PCNP,0.0
MS4A13,0.0
PHOSPHO2,0.0
PLOD3,0.0
PTPRH,0.0
SOX8,0.0
NT5E,-2.2769728e-10
MAP4,0.0
EPHA3,1.2543576e-05
ADPGK,0.0
RETSAT,2.4399932e-13
MBOAT7,3.843975e-14
ZFP41,0.0
OR5M8,1.3165842e-09
BCL11B,0.0
ITFG2,0.0
ZNF195,0.0
TCP11,0.0
HSPB2,0.0
ZNF521,0.02574219
PPP6R3,0.0
CYYR1,0.0
RABGGTB,0.103958614
ANXA4,0.0
CYP27C1,0.0
MOB1A,6.9741895e-12
PABPC5,0.0
COMMD10,0.0118366955
SNX25,0.0
RCCD1,0.0
UNC5CL,0.0
PDCD11,-8.556378e-07
SIDT1,0.0
RAB43,0.0035616665
EIF2A,0.0
OR6X1,-0.00027145798
SLC39A9,0.0
CCR4,0.16995235
CD101,0.0
APOBEC3F,0.0
RAG2,3.2550191e-13
KCTD6,0.43243805
KAT2A,0.06880409
FZR1,-0.0059678936
PEX6,0.0
TBX19,0.0
SORL1,0.066140495
ROCK1,-0.08513194
KLHDC1,0.0
PRPF38B,0.0
RFC5,3.121082e-07
CTNNA2,7.3506265e-14
DGAT2,-5.278084e-14
UPK1B,0.0
FARS2,0.0001214269
NUCB1,0.0
NOS1AP,0.0
PIGC,-1.59728e-16
MCPH1,0.3151808
PMP22,0.0
LRRC15,0.0
BBS9,1.2914148e-21
AIMP1,-5.727779e-13
UBE2V1,-0.087334484
QSER1,0.0
UTP15,-1.2970894e-11
ZNF227,0.0
NEURL4,0.0
GFPT2,0.0
RIT1,-0.00053693005
SEMA3G,0.0
ELK3,0.0
POLR2B,-0.02060879
NKX2-5,0.0
XYLT1,1.5883933e-14
CDRT4,0.0
DHRS2,0.0
ANKRD34A,0.0
CRYBG3,0.0
FAM69A,0.0
ITGB5,0.002217203
LCE1E,0.005294754
BCL9L,7.224699e-05
MTMR3,0.0029745596
ARHGAP8,-0.0028675543
GPATCH1,0.0
PARS2,1.0386699e-05
RRAD,0.0
RAD9B,0.0
LAPTM4B,0.0
GTF3C3,-0.0050227344
GNB2,0.7061509
AXL,0.0
RNF121,0.0
FICD,0.0
HTN3,0.0
ACCS,0.0
GBP1,0.0
LHFPL2,0.11378593
GRID2,0.0
PXMP2,0.0
SAMD12,0.0
C1GALT1,0.0
SLC2A8,2.3954585e-06
TECPR1,0.0
GTF2E1,-0.0003662414
CCDC83,0.0
CLEC1B,-0.00031625046
MBD3,-9.057474e-06
TRIM16,0.0
