,coef
R-HSA-157579,0.011945098
R-HSA-72613,1.4303136
R-HSA-390522,-3.146056e-05
R-HSA-8849175,0.0
R-HSA-1630316,-4.3775563e-06
R-HSA-190236,0.024734087
R-HSA-1369062,9.033607e-10
R-HSA-8981373,5.606463e-08
R-HSA-6806834,3.3343164e-05
R-HSA-163765,0.0
R-HSA-3299685,0.5108243
R-HSA-1980145,0.64876634
R-HSA-8856828,9.128158
R-HSA-1502540,0.0008472957
R-HSA-5173105,2.722352
R-HSA-392518,0.040372346
R-HSA-977225,0.0820044
R-HSA-1855167,0.0013614139
R-HSA-210993,-1.470197e-05
R-HSA-6798163,0.0
R-HSA-5662702,-2.4582504e-12
R-HSA-9013694,0.007418427
R-HSA-425366,8.411531e-06
R-HSA-112310,0.008325068
R-HSA-5687128,2.1384268e-07
R-HSA-71406,-3.2764635e-06
R-HSA-1296052,-1.0418527e-06
R-HSA-5619102,0.0007652269
R-HSA-114604,0.020173062
R-HSA-381042,-6.1191975e-07
R-HSA-450513,5.9310423e-09
R-HSA-1296346,2.9442668e-12
R-HSA-373755,0.4614729
R-HSA-73777,0.0017039118
R-HSA-3371556,0.5465471
R-HSA-1980143,0.8117346
R-HSA-432047,-2.1869782e-11
R-HSA-6783310,-1.1831121e-06
R-HSA-76005,1.1779888
R-HSA-1614635,5.7613725e-10
R-HSA-163680,-2.7376662e-05
R-HSA-209776,3.0388226e-05
R-HSA-2978092,-2.7500825e-12
R-HSA-210745,-1.2687878e-08
R-HSA-72200,6.4515724e-08
R-HSA-163841,-1.1179765e-07
R-HSA-6788656,9.269917e-08
R-HSA-76009,4.2876336e-06
R-HSA-195253,0.25605357
R-HSA-76046,1.0398998
R-HSA-74752,0.023652397
R-HSA-5632927,7.3739284e-05
R-HSA-74182,-9.9622535e-05
R-HSA-1912422,3.0399764
R-HSA-5334118,0.018335652
R-HSA-749476,0.30175075
R-HSA-5682910,3.6675996e-05
R-HSA-1368108,2.2162597e-13
R-HSA-68886,15.214782
R-HSA-1442490,-4.412345e-09
R-HSA-72202,0.0074625495
R-HSA-6811442,4.1536784
R-HSA-8873719,0.10879295
R-HSA-110314,1.2764995e-10
R-HSA-446353,-1.3322943e-08
R-HSA-163767,6.686687e-06
R-HSA-75158,-0.00031722453
R-HSA-8853383,-8.357066e-12
R-HSA-70370,-8.356417e-07
R-HSA-70326,-1.3013477e-06
R-HSA-983705,0.0036683846
R-HSA-1483257,2.306659
R-HSA-5601884,-1.0799313e-07
R-HSA-168928,0.42736942
R-HSA-210990,1.5260616e-09
R-HSA-8956321,-1.6706622e-12
R-HSA-3000170,-4.7558242e-08
R-HSA-163282,0.0
R-HSA-73779,0.2512971
R-HSA-5661270,0.0
R-HSA-199977,6.125816
R-HSA-212300,0.18658736
R-HSA-77595,-1.9339594e-11
R-HSA-2682334,0.27123168
R-HSA-69615,1.7458847
R-HSA-1855196,0.0
R-HSA-449147,4.831737
R-HSA-373753,-5.2613136e-10
R-HSA-389977,4.9931607e-08
R-HSA-2474795,0.0
R-HSA-450520,1.565059e-05
R-HSA-388396,7.0041842
R-HSA-380972,-0.0009921922
R-HSA-75157,6.2059603e-06
R-HSA-9033500,3.2027604e-06
R-HSA-3214842,-0.004711841
R-HSA-8981607,0.0
R-HSA-163316,0.0
R-HSA-69190,-2.0598874e-08
R-HSA-8951664,8.209555
R-HSA-5602358,0.00084160076
R-HSA-1222556,0.0029566044
R-HSA-6802957,0.07188062
R-HSA-69052,0.0005241092
R-HSA-982772,-0.00042103833
R-HSA-5576894,0.0
R-HSA-8876725,-1.5501577e-09
R-HSA-198933,0.010803786
R-HSA-2395516,3.2993625e-11
R-HSA-77588,-3.5607509e-10
R-HSA-1592389,-1.5677348e-07
R-HSA-2160456,0.0
R-HSA-5339562,9.189017e-09
R-HSA-1237044,-4.3888114e-05
R-HSA-1855204,0.9078779
R-HSA-5423646,4.5368786e-05
R-HSA-975956,0.08795864
R-HSA-5620920,0.0006538432
R-HSA-3000157,0.00022097182
R-HSA-8874211,-1.4359922e-10
R-HSA-8868773,0.6234707
R-HSA-5687613,4.0110948e-10
R-HSA-8851680,7.3840514e-05
R-HSA-2559583,5.4572587
R-HSA-70614,3.5527757e-12
R-HSA-917977,0.08027072
R-HSA-499943,3.2839516e-06
R-HSA-3000178,0.021751687
R-HSA-192456,1.9340847e-11
R-HSA-3906995,5.3099804
R-HSA-163125,0.0090160705
R-HSA-1221632,0.0019239532
R-HSA-917729,0.17912212
R-HSA-3858494,0.46482334
R-HSA-8852405,9.942919e-10
R-HSA-391160,-0.00010203651
R-HSA-8934903,-3.7391666e-11
R-HSA-400508,0.0027171676
R-HSA-177929,0.00036209213
R-HSA-194840,6.666694
R-HSA-426496,0.0
R-HSA-3238698,-0.00016792846
R-HSA-1433617,3.012674e-05
R-HSA-373760,0.20902768
R-HSA-69618,1.2737452
R-HSA-8848021,0.0023702385
R-HSA-191859,5.703692e-05
R-HSA-388844,0.0010980538
R-HSA-5621481,0.7586045
R-HSA-8957322,0.24262527
R-HSA-8849932,0.0018144549
R-HSA-163359,0.0030549145
R-HSA-453274,5.0802274
R-HSA-5693571,0.00093560736
R-HSA-73856,0.01113772
R-HSA-5545483,-3.338024e-10
R-HSA-203765,-5.694298e-07
R-HSA-3214841,4.738408
R-HSA-194138,0.0006883916
R-HSA-1296061,-2.838432e-07
R-HSA-1643713,0.051123172
R-HSA-5663084,-4.028199e-08
R-HSA-170834,0.06745695
R-HSA-8957275,0.030373294
R-HSA-5632928,4.2423775e-07
R-HSA-983169,9.742778
R-HSA-75205,-5.9868114e-05
R-HSA-774815,0.044491045
R-HSA-3000497,3.5107416e-07
R-HSA-381070,-5.3563595e-06
R-HSA-1855191,1.2700875e-10
R-HSA-73933,1.1155105e-06
R-HSA-1170546,0.0067000436
R-HSA-5250913,0.506859
R-HSA-430116,-2.3949614e-08
R-HSA-9018678,-0.00065623346
R-HSA-112311,0.0
R-HSA-165181,0.0
R-HSA-426486,0.0
R-HSA-5652084,1.481454e-13
R-HSA-73863,0.0011790036
R-HSA-140834,0.0
R-HSA-2564830,-5.68756e-10
R-HSA-1369007,1.2696532e-05
R-HSA-2404192,1.1498754e-09
R-HSA-111367,-5.7395495e-13
R-HSA-9012852,0.001118834
R-HSA-3371497,15.177354
R-HSA-189451,0.0
R-HSA-73929,1.930301e-08
R-HSA-8963678,0.0
R-HSA-140875,0.0
R-HSA-5609975,5.6231627e-08
R-HSA-209952,-0.0074492767
R-HSA-5221030,0.0
R-HSA-5661231,0.0
R-HSA-5358565,-2.256938e-08
R-HSA-73780,0.08505251
R-HSA-5660489,0.00010842924
R-HSA-8848584,0.0
R-HSA-379724,0.007540229
R-HSA-1300644,8.693841e-12
R-HSA-5683826,-3.242219e-11
R-HSA-2132295,4.101904
R-HSA-5578775,-8.597864e-09
R-HSA-8956320,9.941179e-10
R-HSA-6807505,2.6898396
R-HSA-5579029,6.647139e-11
R-HSA-8956319,0.0
R-HSA-5610787,0.15457422
R-HSA-75893,-2.6437196e-05
