,coef
R-HSA-8963676,5.6508696e-08
R-HSA-917937,0.08027071
R-HSA-983712,0.23145448
R-HSA-112315,0.038181577
R-HSA-2028269,-0.013909699
R-HSA-2564830,-5.1950755e-10
R-HSA-2173782,4.0273326e-07
R-HSA-75892,-7.301e-10
R-HSA-3247509,14.243328
R-HSA-75067,-4.0991557e-10
R-HSA-927802,0.17211884
R-HSA-174824,0.0007805006
R-HSA-1632852,0.2265306
R-HSA-72312,0.6234709
R-HSA-1368082,-2.1148244e-05
R-HSA-157118,4.509016
R-HSA-202131,-5.6944464e-07
R-HSA-5358508,-2.5877249e-08
R-HSA-5683057,-0.0002853795
R-HSA-5223345,9.139525e-06
R-HSA-5682910,3.667603e-05
R-HSA-5423599,7.4112e-05
R-HSA-6794362,0.004320997
R-HSA-381340,0.16437379
R-HSA-8949215,0.0
R-HSA-5205685,1.3198024e-08
R-HSA-5696398,0.03627876
R-HSA-525793,6.4127767e-06
R-HSA-73884,1.1348087e-06
R-HSA-422475,2.14795
R-HSA-1362409,0.0
R-HSA-1187000,-1.2090029e-11
R-HSA-75072,6.443257e-08
R-HSA-189445,0.0
R-HSA-1566948,6.362813e-12
R-HSA-1592230,5.1516863e-10
R-HSA-1475029,0.0001548741
R-HSA-75944,0.0
R-HSA-202733,-1.4700393e-05
R-HSA-3000157,0.00022097187
R-HSA-391160,-0.00010203634
R-HSA-3000171,-4.77723e-08
R-HSA-9006934,0.090463705
R-HSA-211000,0.1298629
R-HSA-5683826,-1.0834165e-10
R-HSA-73893,-6.501262e-08
R-HSA-5358351,0.15457489
R-HSA-163685,0.21293807
R-HSA-445717,0.21815427
R-HSA-112307,0.0
R-HSA-446728,-1.0952055e-08
R-HSA-73857,43.489
R-HSA-165159,-0.0010718144
R-HSA-1181150,3.012662e-05
R-HSA-5663205,3.1901758
R-HSA-556833,2.836526
R-HSA-597592,41.021004
R-HSA-1480926,-4.2781216e-05
R-HSA-381426,0.12644514
R-HSA-1474228,-1.6116427e-07
R-HSA-452723,-5.5734334e-05
R-HSA-5619115,0.0007661834
R-HSA-5619507,1.8614134
R-HSA-5617833,0.080739565
R-HSA-69278,21.999306
R-HSA-1483249,0.90924746
R-HSA-212165,1.3410783
R-HSA-69239,0.0005240887
R-HSA-429914,-6.930828e-08
R-HSA-194315,20.4469
R-HSA-445355,3.8599137e-07
R-HSA-1368071,-8.035206e-06
R-HSA-73887,0.8613549
R-HSA-71387,-6.513146e-06
R-HSA-1268020,8.52538e-07
R-HSA-195721,2.8475056
R-HSA-72766,6.1269083
R-HSA-418346,0.15731394
R-HSA-5218859,7.80951e-06
R-HSA-9006927,0.0023702374
R-HSA-372790,10.88319
R-HSA-5663202,4.7595353
R-HSA-69620,3.0029116
R-HSA-428359,-3.1570164e-09
R-HSA-73886,0.05643613
R-HSA-8981607,0.0
R-HSA-74158,1.4306884
R-HSA-15869,3.2848827e-06
R-HSA-450531,3.914776e-05
R-HSA-6805567,2.3707986
R-HSA-72086,-0.005344955
R-HSA-1280218,14.808109
R-HSA-140877,-4.8059477e-12
R-HSA-73864,0.008659901
R-HSA-2980736,1.2967613
R-HSA-5668914,-5.101802e-05
R-HSA-3000178,0.021751689
R-HSA-8934903,-5.610982e-11
R-HSA-75205,-5.986796e-05
R-HSA-9006921,2.7169988e-05
R-HSA-390522,-3.146056e-05
R-HSA-72203,0.40258244
R-HSA-73942,-4.2251256e-09
R-HSA-1368108,0.0
R-HSA-425407,0.00020666531
R-HSA-381119,-5.9552754e-06
R-HSA-5260271,0.0008416004
R-HSA-1280215,6.6596956
R-HSA-3781865,5.3164206
R-HSA-196854,0.30188453
R-HSA-71737,-1.3216875e-10
R-HSA-5576891,4.8618475e-08
R-HSA-1500620,0.0148325795
R-HSA-68874,-0.0006326233
R-HSA-382556,1.2697955e-05
R-HSA-373753,1.543239e-10
R-HSA-109581,0.081330515
R-HSA-8935690,1.6134958e-11
R-HSA-71291,4.9816692e-05
R-HSA-199991,22.406485
R-HSA-6783310,-1.1834622e-06
R-HSA-5676934,0.0
R-HSA-211859,0.0288154
R-HSA-9006936,0.090559386
R-HSA-168249,19.454275
R-HSA-9006925,9.259046
R-HSA-76002,1.2427968
R-HSA-9006931,2.105713
R-HSA-5693532,0.95385414
R-HSA-5660526,0.00010842929
R-HSA-2161522,0.0
R-HSA-8941237,-1.104566e-06
R-HSA-391251,0.09551839
R-HSA-1296071,-1.5218829e-05
R-HSA-216083,-9.083687e-07
R-HSA-1428517,2.872441e-05
R-HSA-8863678,5.9757494e-05
R-HSA-194441,5.7037232e-05
R-HSA-186712,-1.2609121e-08
R-HSA-983231,0.25297654
R-HSA-2586552,-6.1426597e-09
R-HSA-9033241,3.20273e-06
R-HSA-1566977,0.0
R-HSA-72306,0.042928014
R-HSA-2262752,21.712406
R-HSA-977225,0.08200442
