,,decision_tree_fold_0,decision_tree_fold_1,decision_tree_fold_2,decision_tree_fold_3,decision_tree_fold_4
CPSF2,cnv_amp,0.0,0.0,0.0,0.0,0.0
INTS5,mut_important,0.0,0.0,0.0,0.0,0.0
INTS5,cnv_del,0.0,0.0,0.0,0.0,0.0
INTS5,cnv_amp,0.0,0.0,0.0,0.0,0.0
PCNP,mut_important,0.0,0.0,0.0,0.0,0.0
PCNP,cnv_del,0.0,0.0,0.0,0.0,0.0
PCNP,cnv_amp,0.0,0.0,0.0,0.0,0.0
MS4A13,mut_important,0.0,0.0,0.0,0.0,0.0
MS4A13,cnv_del,0.0,0.0,0.0,0.0,0.0
MS4A13,cnv_amp,0.0,0.0,0.0,0.0,0.0
PHOSPHO2,mut_important,0.0,0.0,0.0,0.0,0.0
PHOSPHO2,cnv_del,0.0,0.0,0.0,0.0,0.0
PHOSPHO2,cnv_amp,0.0,0.0,0.0,0.0,0.0
PLOD3,mut_important,0.0,0.0,0.0,0.0,0.0
PLOD3,cnv_del,0.0,0.0,0.0,0.0,0.0
PLOD3,cnv_amp,0.0,0.0,0.0,0.0,0.0
PTPRH,mut_important,0.0,0.0,0.0,0.0,0.0
PTPRH,cnv_del,0.0,0.0,0.0,0.0,0.0
PTPRH,cnv_amp,0.0,0.0,0.0,0.0,0.0
SOX8,mut_important,0.0,0.0,0.0,0.0,0.0
SOX8,cnv_del,0.0,0.0,0.0,0.0,0.0
SOX8,cnv_amp,0.0,0.0,0.0,0.0,0.0
NT5E,mut_important,0.0,0.0,0.0,0.0,0.0
NT5E,cnv_del,0.0,0.0,0.0,0.0,0.0
NT5E,cnv_amp,0.0,0.0,0.0,0.0,0.0
MAP4,mut_important,0.0,0.0,0.0,0.0,0.0
MAP4,cnv_del,0.0,0.0,0.0,0.0,0.0
MAP4,cnv_amp,0.0,0.0,0.0,0.0,0.0
EPHA3,mut_important,0.0,0.0,0.0,0.0,0.0
EPHA3,cnv_del,0.0,0.0,0.0,0.0,0.0
EPHA3,cnv_amp,0.0,0.0,0.0,0.0,0.0
ADPGK,mut_important,0.0,0.0,0.0,0.0,0.0
ADPGK,cnv_del,0.0,0.0,0.0,0.0,0.0
ADPGK,cnv_amp,0.0,0.0,0.0,0.0,0.0
RETSAT,mut_important,0.0,0.0,0.0,0.0,0.0
RETSAT,cnv_del,0.0,0.0,0.0,0.0,0.0
RETSAT,cnv_amp,0.0,0.0,0.0,0.0,0.0
MBOAT7,mut_important,0.0,0.0,0.0,0.0,0.0
MBOAT7,cnv_del,0.0,0.0,0.0,0.0,0.0
MBOAT7,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZFP41,mut_important,0.0,0.0,0.0,0.0,0.0
ZFP41,cnv_del,0.0,0.0,0.0,0.0,0.0
ZFP41,cnv_amp,0.0,0.0,0.0,0.0,0.0
OR5M8,mut_important,0.0,0.0,0.0,0.0,0.0
OR5M8,cnv_del,0.0,0.0,0.0,0.0,0.0
OR5M8,cnv_amp,0.0,0.0,0.0,0.0,0.0
BCL11B,mut_important,0.0,0.0,0.0,0.0,0.0
BCL11B,cnv_del,0.0,0.0,0.0,0.0,0.0
