,coef
R-HSA-112316,0.19376606
R-HSA-1852241,0.0057840017
R-HSA-4839726,5.7647586
R-HSA-1474244,0.056520775
R-HSA-1474165,0.0018717186
R-HSA-8953897,27.297157
R-HSA-1643685,20.852213
R-HSA-1430728,6.70324
R-HSA-392499,43.710506
R-HSA-69306,-0.0048891045
R-HSA-168256,48.589546
R-HSA-73894,-0.00018907766
R-HSA-109582,1.9778386
R-HSA-8953854,0.008853881
R-HSA-8963743,9.239441e-08
R-HSA-162582,64.22044
R-HSA-5357801,0.9569835
R-HSA-74160,46.319855
R-HSA-382551,0.054249264
R-HSA-5205647,1.3921632e-06
R-HSA-397014,0.0428924
R-HSA-1640170,10.445624
R-HSA-1500931,0.016029315
R-HSA-5653656,15.1126995
R-HSA-400253,2.467532e-07
R-HSA-1266738,13.78039
