,coef
DCAF6,0.026779989
MKLN1,0.0
AGA,0.10610628
ZNF484,0.0
EFNA5,4.5615987e-09
OXSR1,0.0
LYRM7,0.0
PLD1,0.05408463
SLC26A8,0.0
POU3F3,0.0
SLC45A4,0.0
RELT,0.0
WSCD1,0.0
TRDMT1,0.0
F11R,-0.00546494
ANKRD50,0.0
NKAP,0.0
RBM41,0.0
CXXC1,3.7531267e-10
MRPL15,-0.04352082
TLR3,-0.03924556
LIMCH1,0.0
LNX2,0.0
INA,0.0
MTMR6,0.0014824641
SUPV3L1,0.0
SIX4,0.0
ARMS2,0.0
OR6P1,0.0022707232
LRSAM1,0.43167135
ERLIN1,-2.1096363e-21
WDR73,0.0
CPSF2,7.0432353e-09
INTS5,0.0010348316
PCNP,0.0
MS4A13,0.0
PHOSPHO2,0.0
PLOD3,0.0
PTPRH,0.0
SOX8,0.0
NT5E,1.9080422e-09
MAP4,0.0
EPHA3,1.7286752e-09
ADPGK,0.0
RETSAT,1.4483077e-12
MBOAT7,-2.8567084e-12
ZFP41,0.0
OR5M8,6.6445236e-09
BCL11B,0.0
ITFG2,0.0
ZNF195,0.0
TCP11,0.0
HSPB2,0.0
ZNF521,0.7080785
PPP6R3,0.0
CYYR1,0.0
RABGGTB,0.03767958
ANXA4,0.0
CYP27C1,0.0
MOB1A,2.4277563e-16
PABPC5,0.0
COMMD10,0.032748997
SNX25,0.0
RCCD1,0.0
UNC5CL,0.0
PDCD11,-0.05019319
SIDT1,0.0
RAB43,-2.2151253e-05
EIF2A,0.0
OR6X1,-9.901962e-12
SLC39A9,0.0
CCR4,0.0048930245
CD101,0.0
APOBEC3F,0.0
RAG2,-0.0002859044
KCTD6,0.26403514
KAT2A,0.0055163293
FZR1,-0.0049927733
PEX6,0.0
TBX19,0.0
SORL1,-1.0191354e-10
ROCK1,-0.19644506
KLHDC1,0.0
PRPF38B,0.0
RFC5,1.3888525e-05
CTNNA2,3.1468697e-20
DGAT2,-1.8768762e-13
UPK1B,0.0
FARS2,-5.444323e-13
NUCB1,-9.794128e-13
NOS1AP,0.0
PIGC,4.2588283e-15
MCPH1,0.03790217
PMP22,0.0
LRRC15,0.0
BBS9,-1.8693155e-18
AIMP1,6.2566355e-15
UBE2V1,-0.013605616
QSER1,0.0
UTP15,0.003786465
ZNF227,0.0
NEURL4,0.0
GFPT2,0.0
RIT1,-0.0026496702
SEMA3G,0.0
ELK3,0.0
POLR2B,-0.2401138
NKX2-5,0.0
XYLT1,-1.1260286e-11
CDRT4,0.0
DHRS2,0.0
ANKRD34A,0.0
CRYBG3,0.0
FAM69A,0.0
ITGB5,0.0002596986
LCE1E,0.26462457
BCL9L,-0.0057879505
MTMR3,-1.7794811e-05
