,coef
R-HSA-110362,1.6612283e-05
R-HSA-5651801,6.318607e-06
R-HSA-73930,1.9008718e-12
R-HSA-111461,-3.4669394e-09
R-HSA-264870,1.6144737e-12
R-HSA-351906,-1.3405949e-10
R-HSA-352238,-5.3021807e-13
R-HSA-111469,4.415943e-09
R-HSA-111885,1.0971063
R-HSA-111933,0.0032387774
R-HSA-112399,0.59511405
R-HSA-110056,-3.4030446e-16
R-HSA-112411,1.1045288e-13
R-HSA-113510,0.0065902695
R-HSA-111446,1.70015e-05
R-HSA-111447,0.00013821809
R-HSA-111448,0.009029822
R-HSA-139910,3.8051647e-05
R-HSA-139915,0.0050107134
R-HSA-1169091,0.23940136
R-HSA-1169092,0.077645056
R-HSA-2025928,0.061966106
R-HSA-1169408,0.83441764
R-HSA-1234158,-0.00067435997
R-HSA-1234162,-1.0693035e-05
R-HSA-1234176,0.012688006
R-HSA-1236973,0.11242746
R-HSA-1236974,0.13396199
R-HSA-1236977,0.07728831
R-HSA-1236978,0.06182937
R-HSA-1296041,2.383424e-11
R-HSA-211227,1.26226685e-11
R-HSA-3371378,0.0005882769
R-HSA-69416,0.0007769887
R-HSA-141430,-3.3979484e-06
R-HSA-141444,2.1370668
R-HSA-1461957,-1.0613139e-06
R-HSA-1462054,-7.319587e-10
R-HSA-1482788,-0.038474187
R-HSA-1482798,0.011172
R-HSA-1482801,0.00079880963
R-HSA-1482839,0.030370973
R-HSA-1482883,0.01881149
R-HSA-1482922,5.733483e-05
R-HSA-1482925,0.002340348
R-HSA-1483115,0.0005975037
R-HSA-1483148,0.016252184
R-HSA-1483166,-0.13333389
R-HSA-1483191,0.014336413
R-HSA-1483196,-7.840718e-08
R-HSA-1483213,0.046195544
R-HSA-1483226,0.018064752
R-HSA-1483248,0.0033931069
R-HSA-1660499,3.2625756
R-HSA-1660514,0.30533805
R-HSA-1660516,0.29276463
R-HSA-1660517,0.21321905
R-HSA-1660524,0.0
R-HSA-1660537,0.0
R-HSA-6814848,-0.00015389903
R-HSA-8847453,-2.2719598e-06
R-HSA-1362277,4.639241e-06
