GSEA,Program
-0.036628123,5.54422285858891e-11
0.07034347,4.475347870069868e-11
-0.1357392,4.1934100636353825e-11
-0.0746637,3.8373748623143904e-11
0.20583814,3.3897906703828086e-11
-0.05256341,3.092459621711896e-11
0.14105162,2.9461766359872854e-11
-0.57913226,2.794422471197322e-11
-0.036349087999999995,2.761844086762721e-11
0.31593335,2.564775058999657e-11
-0.3293693,2.5193003239110108e-11
0.17376998,2.4369128936996286e-11
-0.5166882,2.3567281459691004e-11
-0.53042066,2.1094592739245856e-11
0.1878267,2.053879288865801e-11
-0.08084878,2.0228441144354293e-11
0.06029683,1.9337775825079008e-11
-0.16031073,1.91562321560923e-11
0.001464894,1.8493651054996008e-11
-0.18932514,1.8118839761882555e-11
0.03982667,1.7860557477433762e-11
-0.13102262,1.6714807316020597e-11
-0.12820910000000002,1.6262902136077178e-11
0.23764132,1.6085976994872912e-11
0.082676165,1.6050272222400966e-11
0.06265988,1.5849010992496916e-11
-0.23887283,1.5046985879507706e-11
0.16732863,1.4950618520970243e-11
0.29086497,1.4211565257937766e-11
0.55511314,1.4175682849781875e-11
-0.110804565,1.4146123161751235e-11
0.3087645,1.3745804494647018e-11
-0.21376878,1.2676615313012008e-11
-0.24133667,1.2579448593896816e-11
0.04147241,1.2474815624941015e-11
0.5486128,1.2235629176515775e-11
0.38349608,1.1883116712851915e-11
0.3981187,1.1804957011918305e-11
-0.034761965,1.1737366634179125e-11
-0.022802057,1.1725376225513177e-11
0.051559795,1.1678039091300715e-11
0.5527245,1.1527217808754431e-11
-0.16124143,1.1368683772161606e-11
0.40087503,1.1105252980224413e-11
0.025877907999999998,1.0986944687374491e-11
-0.2477938,1.0942846628836376e-11
0.11579226,1.0339817890780977e-11
-0.13144876,1.0094325375575864e-11
-0.31968993,1.0059091060110603e-11
0.19557975,9.953638032649383e-12
-0.13279212,9.698553071757491e-12
-0.011797358,9.635936493168627e-12
0.2429228,9.604672612795184e-12
-0.7912464,9.536194056636304e-12
-0.15216124,9.427836289432887e-12
-0.13120966,9.402434386629468e-12
-0.07957609,9.322750904594557e-12
0.22898802,9.190870287056896e-12
-0.22222736,9.166889469724993e-12
0.34040558,9.133049871934416e-12
-0.046021238,9.014122781536573e-12
0.07048869,8.989431421468908e-12
