element,coef
PPP2R5A_cnv_del,1.986716213764339e-08
TTPA_cnv_amp,1.7672135754764895e-08
CDK2_mut_important,1.4565967987323347e-08
CR2_cnv_del,1.423213191742434e-08
TCEA1_cnv_amp,1.2669875815163323e-08
NSMAF_cnv_amp,1.201215127366595e-08
RIPK1_cnv_amp,1.1707255609394451e-08
GPI_mut_important,1.1407176536692987e-08
ARAP2_cnv_del,1.125590642914176e-08
MCM4_cnv_amp,1.1012403433596774e-08
MED30_cnv_amp,9.546063495236012e-09
MRPL13_cnv_amp,6.448889422472348e-09
HEY1_cnv_amp,5.366260324990435e-09
KLHL5_cnv_del,5.201171937585514e-09
TP53_mut_important,4.75279193778988e-09
FBXO32_cnv_amp,4.407173292975131e-09
CORIN_cnv_del,4.21133883321545e-09
HIST1H2BD_cnv_amp,3.760646904993337e-09
WDR19_cnv_del,3.1326181648694273e-09
SMYD2_cnv_del,3.108758361847208e-09
AR_cnv_amp,2.861739289983234e-09
POLR2L_cnv_del,2.6685142984206323e-09
FABP4_cnv_amp,2.5983410978369648e-09
POLR2L_cnv_amp,2.3749748834234197e-09
KLB_cnv_del,2.2719128800474664e-09
BIRC3_cnv_del,2.1193642396610812e-09
TLR6_cnv_del,1.642400437873448e-09
RPS3A_cnv_amp,1.3843788337908336e-09
ESRP1_cnv_amp,1.3290897271645008e-09
DDX4_cnv_del,1.1288392443020712e-09
CCT6B_mut_important,1.113846792577533e-09
TUBA4A_cnv_amp,1.1047802672692342e-09
OTUD7B_cnv_amp,1.0601866051729303e-09
FBXL4_cnv_del,9.42605993259349e-10
PTEN_cnv_del,9.34235799832095e-10
FGA_cnv_del,8.875584711631745e-10
APC_mut_important,8.827925057630637e-10
HIST1H2AC_cnv_amp,8.788276772975223e-10
CCT6A_cnv_del,8.298357556668634e-10
PSMD2_mut_important,7.604583629472472e-10
PROC_cnv_del,7.259544076987368e-10
PCGF6_cnv_del,7.226788056868827e-10
ARSB_cnv_del,7.210374519672769e-10
RTF1_mut_important,6.864482315904752e-10
RYBP_cnv_del,6.653877449025458e-10
USP2_cnv_del,6.625100468227174e-10
UBE2W_cnv_amp,6.364038185324716e-10
BIRC2_cnv_del,6.110933981062772e-10
RAD17_cnv_del,5.964437832517433e-10
OBSCN_cnv_del,5.962021987215849e-10
NSL1_cnv_del,5.923878054758802e-10
ZW10_cnv_del,5.897327071124892e-10
PSMB8_cnv_amp,5.769749122919166e-10
EIF4G1_cnv_del,5.585860662904452e-10
GTF2H1_cnv_del,5.452776008496585e-10
KPNA5_cnv_del,5.446310069601168e-10
ANAPC4_cnv_del,5.43238343198027e-10
IL6ST_cnv_del,5.395861535362201e-10
DDB2_cnv_del,5.363887112252996e-10
PSMD3_mut_important,5.363212096654024e-10
SKP1_mut_important,5.275957448702684e-10
LMNA_cnv_del,5.162306138117856e-10
ADSL_mut_important,5.110543099817733e-10
EPC1_cnv_del,5.050466711509216e-10
NUP35_cnv_amp,4.932267927415523e-10
TSN_cnv_del,4.83527884398427e-10
EIF3E_cnv_amp,4.814069143321831e-10
PPP2R5A_cnv_amp,4.740101644529204e-10
GTF3C3_cnv_amp,4.5442227758485387e-10
COL3A1_cnv_amp,4.5207926291368494e-10
AVPR1B_cnv_del,4.5133041054468137e-10
RRAGD_cnv_del,4.4158809942018706e-10
AR_mut_important,4.319673507779953e-10
HIST1H2BJ_cnv_amp,4.205915615784761e-10
EIF4G1_cnv_amp,4.189928404230159e-10
VARS2_cnv_amp,4.1675818351905036e-10
RPS27A_cnv_del,4.1233505498894374e-10
ATP8A1_cnv_del,4.1211056789336453e-10
CDC42_cnv_del,4.1103120906882396e-10
ANAPC10_cnv_amp,4.065299208377837e-10
CGN_cnv_amp,3.98706845317065e-10
NCSTN_cnv_del,3.9624126202397747e-10
OTUB1_cnv_del,3.9393199813275714e-10
H3F3A_cnv_del,3.936193593290227e-10
POLE_cnv_del,3.8886582842678763e-10
CCNC_cnv_del,3.814051297013066e-10
GK2_cnv_del,3.750493249299325e-10
PSMD6_cnv_amp,3.717843810591148e-10
RNF146_mut_important,3.716049690183354e-10
ITGA1_cnv_amp,3.702069761857274e-10
GTF2E2_cnv_del,3.67258223832323e-10
CYP11B1_mut_important,3.658655600702332e-10
SKP1_cnv_del,3.5914382578994264e-10
APC_cnv_del,3.538218606990995e-10
RPL22_cnv_del,3.497859779599821e-10
MPHOSPH10_mut_important,3.4624092482005153e-10
MRPS36_cnv_del,3.4219027611470665e-10
BNIP3L_cnv_del,3.4154368222516496e-10
NR3C2_cnv_amp,3.3919533848347783e-10
HEXB_cnv_del,3.388862523934222e-10
IFIH1_cnv_del,3.320934638395556e-10
GTF3C6_cnv_amp,3.3023894729922176e-10
TPR_cnv_amp,3.297060402474017e-10
TMEM129_cnv_del,3.2794389426271664e-10
CD28_cnv_amp,3.2571989549978753e-10
