element,coef
R-HSA-8953897,1.1041774996556342e-06
R-HSA-5653656,6.04166416451335e-07
R-HSA-1430728,1.3249336916487664e-07
R-HSA-162582,1.180014805868268e-07
R-HSA-382551,3.582681529223919e-08
R-HSA-5357801,2.885462890844792e-08
R-HSA-1640170,1.9006819229616667e-08
R-HSA-112316,4.975656553440899e-10
R-HSA-1500931,1.511182290414581e-10
R-HSA-5205647,9.525713551283843e-14
R-HSA-8963743,-4.982698281752462e-13
R-HSA-1474165,-4.412470389070222e-12
R-HSA-400253,-2.2396307031158358e-10
R-HSA-8953854,-2.716546987358015e-10
R-HSA-4839726,-1.5243131201714277e-09
R-HSA-1643685,-7.780442956573097e-09
R-HSA-69306,-1.095759216696024e-08
R-HSA-73894,-3.423053840378998e-08
R-HSA-109582,-3.813147486653179e-08
R-HSA-1852241,-1.104926923289895e-07
R-HSA-397014,-1.3232056517153978e-07
R-HSA-1474244,-1.7171259969472885e-07
R-HSA-168256,-2.2206222638487816e-07
R-HSA-1266738,-4.025059752166271e-07
R-HSA-74160,-8.220895324484445e-07
R-HSA-392499,-1.2679374776780605e-06
