,loss,o1_loss,o2_loss,o3_loss,o4_loss,o5_loss,o6_loss,o1_f1,o2_f1,o3_f1,o4_f1,o5_f1,o6_f1,lr
0,435.79130388014386,0.6740431537722597,0.6886606422981413,0.6895355723872043,0.6898435330626989,0.6904461791019628,0.6898635200934835,0.16889065799146596,0.07550753726817594,0.07269809594248781,0.07991386669697148,0.0857529088412181,0.08492865037209917,0.0010000000474974513
1,431.20601208375234,0.6365039956451642,0.6788886980255051,0.6827445071522552,0.6829248094322657,0.6830543214731878,0.6829110743975876,0.30449367506374225,0.003960395951082211,0.0,0.0,0.0,0.0,0.0010000000474974513
2,431.00916373375617,0.6164975502703449,0.6749653391318746,0.6821996805691483,0.6827959306169264,0.6828228034595452,0.6827984942067967,0.39086265471017007,0.011844590380050169,0.0,0.0,0.0,0.0,0.0010000000474974513
3,431.0714156651261,0.5993833181881668,0.6696278801058778,0.6821747457627023,0.683078686789711,0.683049479333481,0.6830464908392122,0.4777472770155066,0.038469122114157914,0.0,0.0,0.0,0.0,0.0010000000474974513
4,430.77992233427443,0.5772534313768444,0.657811706609065,0.6803945999334354,0.6826027732084293,0.6828906205621096,0.6828580132805475,0.5214372523645363,0.12754108572360312,0.0,0.0,0.0,0.0,0.0010000000474974513
5,430.5482123346612,0.5635668800608946,0.6427112876778782,0.6784063264875129,0.6823389766239883,0.682803466178403,0.6827423814499732,0.5393142953957661,0.17087153758447948,0.0,0.0,0.0,0.0,0.0010000000474974513
6,429.98980078366725,0.550927719267288,0.6218304958673987,0.6736664984485891,0.6812483402762083,0.6824166821961356,0.6822510267248248,0.5924746824963258,0.43966430440397547,0.021190689120552327,0.0,0.0,0.0,0.0010000000474974513
7,429.7607696835357,0.5399461291214027,0.5987775178238897,0.6670503439289508,0.6807360814349486,0.6825467312690054,0.6823978022773667,0.5944382855207613,0.47040677011603177,0.07571591525384695,0.0,0.0,0.0,0.0010000000474974513
8,428.9208059783029,0.5287084024731475,0.5717517884060888,0.653122883622009,0.6780354079633656,0.6822122541984709,0.6818896000928217,0.6252459798118856,0.5453354555486453,0.13751130691259214,0.0,0.0,0.0,0.0010000000474974513
9,428.1002656540068,0.5192885174609647,0.550320823593895,0.633341926159245,0.6735413198423857,0.6821200735498183,0.6817333450411805,0.6415226022795876,0.5836238925999934,0.2556284663848358,0.007222207392206286,0.0,0.0,0.0010000000474974513
10,426.1762202801091,0.5115613152485082,0.5386403450871459,0.6083146493033608,0.6640312783788926,0.680433180662665,0.6801569267074661,0.6695209906833006,0.6610026271036356,0.5066461220826253,0.1002013764464029,0.0,0.0,0.0010000000474974513
